Average Semantic Similarity	0.025	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275	0.3	0.325	0.35	0.375	0.4	0.425	0.45	0.475	0.5	0.525	0.55	0.575	0.6	0.625	0.65	0.675	0.7	0.725	0.75	0.775	0.8	0.825	0.85	0.875	0.9	0.925	0.95	0.975	0.99
Interval Name	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
DC	0.0399987	0.7196368	0.996325	0.998025	0.9986099	0.9989534	0.999159	0.9993159	0.999435	0.9995225	0.999604	0.9996707	0.9997286	0.9997832	0.9998345	0.999886	0.9999339	0.999983	1.0000005	1.0000013	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	None	None	None	None	None	None	None
MIC	0.0045328	0.8499948	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
SOB	14.6752452	2.7620528	0.7712027	0.5358624	0.4260321	0.363	0.316226	0.2713146	0.2393662	0.2034588	0.168703	0.1383226	0.1197587	0.0995825	0.0621659	0.0424837	0.026964	0.0085582	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
FSH	1.5707963	0.5962151	0.1153878	0.0807502	0.0660664	0.0568563	0.0509098	0.0463227	0.0420662	0.038299	0.0352884	0.0323406	0.0290548	0.0269361	0.0236734	0.0197531	0.0152428	0.0068185	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
SPR	0.000171	0.7094054	0.9316506	0.9508658	0.9584261	0.9632166	0.9670029	0.9697384	0.9719658	0.9734998	0.9760684	0.9781197	0.9808547	0.9835787	0.9878683	0.9942238	0.998556	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
PRS	2e-07	0.7133268	0.9934118	0.9965434	0.9977587	0.9983019	0.9986704	0.9988992	0.9990882	0.9992421	0.9993741	0.9994749	0.9995568	0.9996446	0.9997282	0.9997982	0.9998809	0.999974	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
