Average Semantic Similarity	0.025	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275	0.3	0.325	0.35	0.375	0.4	0.425	0.45	0.475	0.5	0.525	0.55	0.575	0.6	0.625	0.65	0.675	0.7	0.725	0.75	0.775	0.8	0.825	0.85	0.875	0.9	0.925	0.95	0.975	0.99
Interval Name	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
DC	0.0399998	0.0399998	0.0399998	0.308805	0.9960582	0.9983239	0.9988821	0.9991703	0.999351	0.999492	0.9995979	0.9996635	0.9997288	0.9997914	0.9998407	0.999886	0.9999332	0.9999891	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016
MIC	0.0045328	0.0045328	0.0045328	0.4311848	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
SOB	14.6752452	14.6752452	14.6752452	7.0874663	0.8342327	0.479135	0.3736511	0.3097702	0.257598	0.2093583	0.1704035	0.1344644	0.1106693	0.0768728	0.0447248	0.0326447	0.0147602	0.0029427	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
FSH	1.5707963	1.5707963	1.5707963	1.2446183	0.119623	0.0735252	0.0587211	0.05029	0.0441856	0.0394386	0.0355006	0.031839	0.0281778	0.0254967	0.0222293	0.0187943	0.0145424	0.0060496	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
SPR	0.000171	0.000171	0.000171	0.3194524	0.8242789	0.9234303	0.9488453	0.9591052	0.9646093	0.9686275	0.9722617	0.9749216	0.977945	0.9808547	0.9854676	0.9937233	0.9982669	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
PRS	1e-07	1e-07	1e-07	0.1905864	0.9927589	0.9972479	0.9982087	0.9987267	0.9990085	0.9991985	0.9993637	0.9994945	0.9995902	0.9996863	0.9997509	0.9998178	0.9998893	0.9999829	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
