"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"FDR"
"Transcript_100035.0"	1.52438585709047	2.54806686447435	0.500704849706578	0.199644839937177	-2.32449231063616	0.00888607080435888	0.991113929195641
"Transcript_100060.0"	1.63070221471434	2.65727665487306	0.604127774555624	0.23024524787619	-2.11875671462376	0.00766965350481119	0.992330346495189
"Transcript_100066.0"	0.963240712320207	0.567763364694671	1.35871805994574	2.36899420002005	1.24427466644959	0.00101839457504382	0.998981605424956
"Transcript_100070.0"	1.8375826497471	3.51487818655802	0.160287112936172	0.0483100702842881	-4.37153223808691	0.00292800410373872	0.997071995896261
"Transcript_100082.0"	1.58497202389158	2.85142599876606	0.318518049017102	0.11480920672377	-3.12268975633944	0.00214829691739837	0.997851703082602
"Transcript_100108.0"	0.730632608020998	1.19213489903982	0.269130317002175	0.232195502538962	-2.10658806638576	0.0411392956616308	0.958860704338369
"Transcript_100111.0"	1.3877825641365	2.32701459993604	0.448550528336958	0.196212093989275	-2.34951412672155	0.00312574246695352	0.996874257533046
"Transcript_100205.0"	1.80337562422158	0.638335272018984	2.96841597642418	4.59394406716309	2.19973329151826	0.00424358541973979	0.99575641458026
"Transcript_100225.0"	0.409864038123467	0.053194606001582	0.766533470245353	12.2879707522176	3.61917478216577	0.00953583065505681	0.990464169344943
"Transcript_100240.0"	0.729956794035167	0.103788474442889	1.35612511362744	12.0058302944654	3.58566327523921	0.000448078591639312	0.999551921408361
"Transcript_100260.0"	2.38968718713536	0.642695936035503	4.13667843823523	6.35315498273559	2.66747321355029	0.00127638649978246	0.998723613500218
"Transcript_100265.0"	0.648353317583715	1.22347593803639	0.0732306971310449	0.0674765470200763	-3.88947004134889	0.00572392678608125	0.994276073213919
"Transcript_100307.0"	2.26585102841617	4.44199195116495	0.0897101056673916	0.0223967398775958	-5.48056744430992	1.69304524488822e-06	0.999998306954755
"Transcript_100311.0"	0.670963851423939	0.149352460813318	1.19257524203456	7.54663740927967	2.91583395919524	0.0376539344263965	0.962346065573603
"Transcript_100329.0"	1.73239916954228	1.18872133539092	2.27607700369364	1.90709628351456	0.93137768279194	3.90469510236358e-05	0.999960953048976
"Transcript_100348.0"	1.89869952132745	0.298704921626636	3.49869412102827	11.3658509314985	3.50663379388667	0.0290665194398678	0.970933480560132
"Transcript_100358.0"	0.62265820819108	1.11708672603322	0.128229690348938	0.122643348693704	-3.02745910042771	0.0481160398696486	0.951883960130351
"Transcript_100367.0"	2.73146491211192	5.05264549268411	0.410284331539736	0.0830167413750534	-3.59045388628799	0.0158732249359592	0.984126775064041
"Transcript_100368.0"	1.47556697822839	2.69036234960868	0.260771606848097	0.100272323411462	-3.31800463835895	0.00701668136573241	0.992983318634268
"Transcript_100393.0"	1.44027523295454	0.691529878020566	2.18902058788852	3.13460717324437	1.64828465683215	0.0349206427238362	0.965079357276164
"Transcript_100394.0"	0.642819626425827	0.205957519212043	1.07968173363961	5.0458152029876	2.33508737028263	0.0454548695726411	0.954545130427359
"Transcript_100406.0"	1.42242807825807	0.280921965584504	2.56393419093164	8.84750721988366	3.14527103394196	0.00073561242707787	0.999264387572922
"Transcript_100431.0"	0.950731417969821	0.281575528578516	1.61988730736113	5.58993175904414	2.4828306709952	0.00985131159964425	0.990148688400356
"Transcript_100436.0"	9.51097687880887	18.0602310800007	0.961722677617033	0.0537747787128462	-4.21692650690996	0.00119094508839557	0.998809054911604
"Transcript_100455.0"	7.13847501605654	8.90969701045154	5.36725302166155	0.602851533562275	-0.730125346768926	0.00114984352943981	0.99885015647056
"Transcript_100476.0"	1.14674157606766	1.75522251813097	0.53826063400435	0.310590097493687	-1.68691626169947	0.0342847721019305	0.96571522789807
"Transcript_100478.0"	0.837541290668532	0.35930028760324	1.31578229373382	3.58998446044588	1.84397759923323	0.0392757755418432	0.960724224458157
"Transcript_100505.0"	0.896904537511138	0.319167636009492	1.47464143901278	4.51028982378441	2.17322014166295	0.012285998823622	0.987714001176378
"Transcript_100509.0"	55.1392196163425	10.8733567190058	99.4050825136791	9.13459744823663	3.19134115225405	5.11250630719218e-09	0.999999994887494
"Transcript_100517.0"	4.00505622599576	6.95604165544011	1.05407079655142	0.152751138908341	-2.71074495810823	0.0452616764437911	0.954738323556209
"Transcript_100526.0"	0.629373959632752	1.10228495515664	0.156462964108858	0.149658559469965	-2.74025330117174	0.0431294400396774	0.956870559960323
"Transcript_100531.0"	4.93213046633858	1.13552672938934	8.72873420328781	7.62857293425729	2.93141319949385	3.60546814626161e-10	0.999999999639453
"Transcript_100532.0"	1.55576002063971	0.394789068625097	2.71673097265431	6.73617739213143	2.75193013118615	0.000787068277162795	0.999212931722837
"Transcript_100552.0"	8.37139629463444	1.70329009408401	15.0395024951849	8.78397800066129	3.13487444113995	2.56453501956688e-06	0.99999743546498
"Transcript_100566.0"	4.06326364840337	7.270283720894	0.856243575912744	0.118984865030284	-3.07115002164338	0.00172265250477677	0.998277347495223
"Transcript_100582.0"	43.4307660941701	85.4175880904596	1.44394409788048	0.0170196084236968	-5.87665834497702	1.02798422495498e-05	0.99998972015775
