Average Semantic Similarity	0.025	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275	0.3	0.325	0.35	0.375	0.4	0.425	0.45	0.475	0.5	0.525	0.55	0.575	0.6	0.625	0.65	0.675	0.7	0.725	0.75	0.775	0.8	0.825	0.85	0.875	0.9	0.925	0.95	0.975	0.99
Interval Name	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
MIC	0.0045328	0.6733926	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
DC	0.0399997	0.5297814	0.9786575	0.9957073	0.9974551	0.9981757	0.998575	0.9988198	0.998986	0.9991168	0.999219	0.9993101	0.9993821	0.9994587	0.9995224	0.9995818	0.9996257	0.999684	0.9997325	0.9997868	0.9998428	0.9999306	1.0000017	1.0000017	1.0000017	1.0000017	1.0000017	1.0000017	None	None	None	None	None	None	None	None	None	None	None	None
SOB	14.6752452	2.7526364	0.6256495	0.4326755	0.3650419	0.324269	0.2917562	0.2652501	0.2319706	0.2088507	0.1847485	0.168721	0.1557651	0.1427268	0.1328664	0.1228163	0.1107064	0.0917425	0.0780309	0.0615829	0.0452584	0.008418	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
FSH	1.5707963	0.6796191	0.1534869	0.1000309	0.0821793	0.0714813	0.0642103	0.0588975	0.0546463	0.0507785	0.047205	0.0443069	0.0417504	0.0394084	0.0370568	0.0346353	0.0324216	0.0295854	0.0266468	0.0247517	0.0210786	0.014673	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
PRS	1e-07	0.4407733	0.9770014	0.9938471	0.9962903	0.9973556	0.9978876	0.9982304	0.9984813	0.9986911	0.9988623	0.9989945	0.9991088	0.9992074	0.9993034	0.9993857	0.9994609	0.9995489	0.999633	0.9997203	0.9997743	0.9998837	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
SPR	0.000171	0.5678636	0.9056756	0.9433499	0.9548858	0.9604792	0.9646093	0.9673449	0.9700804	0.9724138	0.9740503	0.9760443	0.977945	0.9799373	0.9824451	0.9861352	0.9933407	0.9937233	0.998556	0.998556	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
