confidenceLevel	metrics
20	DC
21	DC
19	DC
18	DC
17	DC-PRS-FSH
14	FSH-DC
12	DC
11	DC
16	SPR-DC-PRS-FSH
10	DC
15	SPR-DC-PRS-FSH
13	SPR-DC-PRS-FSH
4	SPR
3	SPR
9	SOB-PRS-DC-FSH-SPR
8	SPR-DC-SOB-PRS
7	SPR-SOB-DC-FSH
6	SOB-SPR
2	SPR
5	SOB-SPR
1	PRS-FSH-DC-SPR
