"id"	"packs"
"Transcript_116200.0"	"EBSeq,edgeR,DESeq2"
"Transcript_1165.0"	"EBSeq,edgeR,DESeq2"
"Transcript_116851.0"	"EBSeq,edgeR,DESeq2"
"Transcript_11834.0"	"EBSeq,edgeR,DESeq2"
"Transcript_11892.0"	"EBSeq,edgeR,DESeq2"
"Transcript_118922.0"	"EBSeq,edgeR,DESeq2"
"Transcript_119201.0"	"EBSeq,edgeR,DESeq2"
"Transcript_119456.0"	"EBSeq,edgeR,DESeq2"
"Transcript_119534.0"	"EBSeq,edgeR,DESeq2"
"Transcript_120950.0"	"EBSeq,edgeR,DESeq2"
"Transcript_120951.0"	"EBSeq,edgeR,DESeq2"
"Transcript_12196.0"	"EBSeq,edgeR,DESeq2"
"Transcript_12207.0"	"EBSeq,edgeR,DESeq2"
"Transcript_12369.0"	"EBSeq,edgeR,DESeq2"
"Transcript_124014.0"	"EBSeq,edgeR,DESeq2"
"Transcript_12480.0"	"EBSeq,edgeR,DESeq2"
"Transcript_12601.0"	"EBSeq,edgeR,DESeq2"
"Transcript_126152.0"	"EBSeq,edgeR,DESeq2"
"Transcript_128440.0"	"EBSeq,edgeR,DESeq2"
"Transcript_128944.0"	"EBSeq,edgeR,DESeq2"
"Transcript_12999.0"	"EBSeq,edgeR,DESeq2"
"Transcript_130957.0"	"EBSeq,edgeR,DESeq2"
"Transcript_134864.0"	"EBSeq,edgeR,DESeq2"
"Transcript_13667.0"	"EBSeq,edgeR,DESeq2"
"Transcript_138204.0"	"EBSeq,edgeR,DESeq2"
"Transcript_138444.0"	"EBSeq,edgeR,DESeq2"
"Transcript_13861.0"	"EBSeq,edgeR,DESeq2"
"Transcript_139368.0"	"EBSeq,edgeR,DESeq2"
"Transcript_139533.0"	"EBSeq,edgeR,DESeq2"
"Transcript_140086.0"	"DESeq,edgeR,DESeq2"
"Transcript_14064.0"	"EBSeq,edgeR,DESeq2"
"Transcript_141852.0"	"EBSeq,edgeR,DESeq2"
"Transcript_142217.0"	"DESeq,edgeR,DESeq2"
"Transcript_142369.0"	"EBSeq,edgeR,DESeq2"
"Transcript_142558.0"	"DESeq,edgeR,DESeq2"
"Transcript_143418.0"	"EBSeq,edgeR,DESeq2"
"Transcript_143726.0"	"DESeq,edgeR,DESeq2"
"Transcript_143800.0"	"DESeq,edgeR,DESeq2"
"Transcript_143839.0"	"EBSeq,edgeR,DESeq2"
"Transcript_143983.0"	"DESeq,edgeR,DESeq2"
"Transcript_14408.0"	"EBSeq,edgeR,DESeq2"
"Transcript_144104.0"	"EBSeq,edgeR,DESeq2"
"Transcript_144783.0"	"DESeq,edgeR,DESeq2"
"Transcript_144831.0"	"EBSeq,edgeR,DESeq2"
"Transcript_144932.0"	"DESeq,edgeR,DESeq2"
"Transcript_145710.0"	"EBSeq,edgeR,DESeq2"
"Transcript_146463.0"	"EBSeq,edgeR,DESeq2"
"Transcript_146513.0"	"EBSeq,edgeR,DESeq2"
"Transcript_146604.0"	"EBSeq,edgeR,DESeq2"
"Transcript_147458.0"	"DESeq,edgeR,DESeq2"
"Transcript_148114.0"	"EBSeq,edgeR,DESeq2"
"Transcript_14845.0"	"EBSeq,edgeR,DESeq2"
"Transcript_149287.0"	"DESeq,edgeR,DESeq2"
"Transcript_149495.0"	"EBSeq,edgeR,DESeq2"
"Transcript_149633.0"	"EBSeq,edgeR,DESeq2"
"Transcript_150298.0"	"DESeq,edgeR,DESeq2"
"Transcript_15048.0"	"EBSeq,edgeR,DESeq2"
"Transcript_150694.0"	"EBSeq,edgeR,DESeq2"
"Transcript_150743.0"	"DESeq,edgeR,DESeq2"
"Transcript_151909.0"	"DESeq,edgeR,DESeq2"
"Transcript_152149.0"	"EBSeq,edgeR,DESeq2"
"Transcript_15890.0"	"EBSeq,edgeR,DESeq2"
"Transcript_160037.0"	"DESeq,edgeR,DESeq2"
"Transcript_160233.0"	"EBSeq,edgeR,DESeq2"
"Transcript_16026.0"	"EBSeq,edgeR,DESeq2"
"Transcript_161696.0"	"EBSeq,edgeR,DESeq2"
"Transcript_162316.0"	"EBSeq,edgeR,DESeq2"
"Transcript_16278.0"	"EBSeq,edgeR,DESeq2"
"Transcript_163084.0"	"DESeq,edgeR,DESeq2"
"Transcript_16614.0"	"EBSeq,edgeR,DESeq2"
"Transcript_167752.0"	"DESeq,edgeR,DESeq2"
"Transcript_170688.0"	"DESeq,edgeR,DESeq2"
"Transcript_17106.0"	"EBSeq,edgeR,DESeq2"
"Transcript_17264.0"	"EBSeq,edgeR,DESeq2"
"Transcript_173434.0"	"EBSeq,edgeR,DESeq2"
"Transcript_17434.0"	"EBSeq,edgeR,DESeq2"
"Transcript_17460.0"	"EBSeq,edgeR,DESeq2"
"Transcript_175220.0"	"EBSeq,edgeR,DESeq2"
"Transcript_178607.0"	"DESeq,edgeR,DESeq2"
"Transcript_181513.0"	"DESeq,edgeR,DESeq2"
"Transcript_18235.0"	"EBSeq,edgeR,DESeq2"
"Transcript_182378.0"	"EBSeq,edgeR,DESeq2"
"Transcript_182509.0"	"EBSeq,edgeR,DESeq2"
"Transcript_183160.0"	"DESeq,edgeR,DESeq2"
"Transcript_18460.0"	"EBSeq,edgeR,DESeq2"
"Transcript_184966.0"	"DESeq,edgeR,DESeq2"
"Transcript_185509.0"	"EBSeq,edgeR,DESeq2"
"Transcript_18665.0"	"EBSeq,edgeR,DESeq2"
"Transcript_188737.0"	"EBSeq,edgeR,DESeq2"
"Transcript_18936.0"	"EBSeq,edgeR,DESeq2"
"Transcript_18962.0"	"EBSeq,edgeR,DESeq2"
"Transcript_189701.0"	"EBSeq,edgeR,DESeq2"
"Transcript_189721.0"	"EBSeq,edgeR,DESeq2"
"Transcript_18985.0"	"EBSeq,edgeR,DESeq2"
"Transcript_191112.0"	"DESeq,edgeR,DESeq2"
"Transcript_191277.0"	"DESeq,edgeR,DESeq2"
"Transcript_191335.0"	"EBSeq,edgeR,DESeq2"
"Transcript_191454.0"	"EBSeq,edgeR,DESeq2"
"Transcript_192212.0"	"EBSeq,edgeR,DESeq2"
"Transcript_192381.0"	"EBSeq,edgeR,DESeq2"
"Transcript_192798.0"	"EBSeq,edgeR,DESeq2"
"Transcript_192852.0"	"DESeq,edgeR,DESeq2"
"Transcript_193146.0"	"EBSeq,edgeR,DESeq2"
"Transcript_193460.0"	"EBSeq,edgeR,DESeq2"
"Transcript_19402.0"	"EBSeq,edgeR,DESeq2"
"Transcript_194195.0"	"EBSeq,edgeR,DESeq2"
"Transcript_19436.0"	"EBSeq,edgeR,DESeq2"
"Transcript_194844.0"	"EBSeq,edgeR,DESeq2"
"Transcript_194851.0"	"EBSeq,edgeR,DESeq2"
"Transcript_19592.0"	"EBSeq,edgeR,DESeq2"
"Transcript_196130.0"	"DESeq,edgeR,DESeq2"
"Transcript_196446.0"	"DESeq,edgeR,DESeq2"
"Transcript_198690.0"	"EBSeq,edgeR,DESeq2"
"Transcript_199350.0"	"EBSeq,edgeR,DESeq2"
"Transcript_199642.0"	"DESeq,edgeR,DESeq2"
"Transcript_199978.0"	"EBSeq,edgeR,DESeq2"
"Transcript_200214.0"	"EBSeq,edgeR,DESeq2"
"Transcript_20079.0"	"EBSeq,edgeR,DESeq2"
"Transcript_201249.0"	"EBSeq,edgeR,DESeq2"
"Transcript_201402.0"	"EBSeq,edgeR,DESeq2"
"Transcript_201571.0"	"EBSeq,edgeR,DESeq2"
