RF00001	rRNA
RF00005	tRNA
RF01852	tRNA
RF00169	SRP_RNA
RF00059	TPP
RF00013	6S
RF00023	tmRNA
RF02541	rRNA
RF02735	antisense_RNA
RF00174	Cobalamin
RF00010	RNase_P_RNA
RF00177	rRNA
RF01057	SAH_riboswitch
RF02514	5_ureB_sRNA
RF01782	antisense_RNA
RF01656	ceN72-3_ceN74-2
RF01336	CRISPR-DR23
RF01695	antisense_RNA
RF00080	yybP-ykoY
RF02278	Betaproteobacteria_toxic_sRNA
RF00504	Glycine
RF01750	ZMP-ZTP
RF02835	Bcj11
RF01317	CRISPR-DR4
RF02221	sRNA-Xcc1
RF01734	Fluoride
RF02232	sX13
RF02235	antisense_RNA
RF02224	sX5
RF00106	antisense_RNA
RF00050	FMN
RF00162	SAM
RF01766	cspA
RF02975	DUF3800-XI
RF01867	CC2171
RF00519	suhB
RF00634	SAM-IV
RF00521	SAM_alpha
RF01849	tmRNA
RF01793	ffh
RF01815	rpsB
RF01330	CRISPR-DR16
RF02194	antisense_RNA
RF02543	rRNA
RF01960	rRNA
RF02269	HPnc0580
RF02650	CncR1
RF01346	CRISPR-DR36
RF00166	PrrB_RsmZ
RF00240	antisense_RNA
RF00625	P11
RF00444	PrrF
RF01811	PtaRNA1
RF01683	P6
RF00195	RsmY
RF02144	rsmX
RF01675	CrcZ
RF00627	P15
RF01719	Pseudomon-1
RF01669	P14
RF01674	P27
RF00629	P24
RF01673	PhrS
RF00630	P26
RF01676	P31
RF02405	P34
RF02227	sX8
RF00628	RgsA
RF00127	t44
RF00624	P9
RF01670	P17
RF01671	P18
RF00623	P1
RF02872	SrbA
RF02523	ROSE_3
RF02812	antisense_RNA
RF02276	hammerhead_ribozyme
RF01668	P10
RF01679	P36
RF00442	ykkC-yxkD
RF03057	nhaA-I
RF02228	sX9
RF02230	sX11
RF02225	sX6
RF02226	sX7
RF02241	Xoo2
RF02223	sX4
RF02238	antisense_RNA
RF02233	sX14
RF02231	sX12
RF03023	rpfG
RF02239	antisense_RNA
RF02344	ar14
RF02345	ar15
RF00489	antisense_RNA
RF02507	Atu_Ti3
RF02508	Atu_Ti4
RF02506	Atu_Ti1
RF02496	Atu_At1
RF02648	Cis90_sRNA
RF02356	BjrC1505
RF02347	ar45
RF02343	ar9
RF02600	BASRCI27
RF02500	Atu_C6
RF02502	Atu_C8
RF02342	ar7
RF02647	Cis52_sRNA
RF02878	MH_s7
RF02879	MH_s10
RF02882	MH_s36
RF02503	Atu_C9
RF02346	ar35
RF02501	Atu_C7
RF02552	RcsR1
RF00435	ROSE
RF02688	RAGATH-13
RF03085	abiF
RF01396	isrN
RF02057	STnc40
RF02375	Aar
RF02053	STnc430
RF01394	isrK
RF02607	AbsR25
RF02606	AbsR28
RF02608	AbsR11
RF03046	Pseudomonadales-1
RF02075	STnc230
RF01809	antisense_RNA
RF00014	DsrA
RF00121	MicC
RF03036	osmY
