5	DC-PRS-SPR	DC-PRS-SPR	DC-PRS-SPR
4	DC-PRS-SPR	DC-PRS-SPR	DC-PRS-SPR
3	DC-PRS-SPR	DC-PRS-SPR	DC-PRS-SPR
2	DC-PRS-SPR	DC-PRS-SPR	DC-PRS-SPR
1	DC-MIC-PRS-SOB-SPR	FSH-MIC-PRS-SPR	MIC-PRS-SPR
0	FSH-MIC	FSH-MIC	FSH-MIC
