"baseMean"	"baseMeanA"	"baseMeanB"	"FoldChange"	"logFC"	"PValue"	"FDR"
"Transcript_100023.0"	1.48271540975699	2.96543081951397	0	17.5514881571318	4.13352145395813	0.0235747836212953	0.723352054389152
"Transcript_100070.0"	3.05212781042057	5.9889434855445	0.115312135296635	9.67091167728326	3.27365189904008	0.022027508003982	0.723352054389152
"Transcript_100077.0"	0.932661870613955	0	1.86532374122791	0.0500473212366652	-4.32056333833591	0.0133868053312797	0.722400749426229
"Transcript_100095.0"	0.696436568424842	1.39287313684968	0	22.9178453594444	4.51839950916702	0.0396602077734554	0.723352054389152
"Transcript_100117.0"	0.559063001584576	1.11812600316915	0	16.2413605025619	4.02160058381979	0.0295871184736155	0.723352054389152
"Transcript_100276.0"	0.955210126300089	1.91042025260018	0	9.74995885002028	3.28539612993948	0.0261663323526357	0.723352054389152
"Transcript_100278.0"	1.41080143396122	2.82160286792243	0	21.8733385441811	4.45110153171334	0.0168554382038125	0.723352054389152
"Transcript_100281.0"	1.62197763932815	3.2439552786563	0	10.4510517346742	3.38557622915988	0.0250926435759657	0.723352054389152
"Transcript_100305.0"	1.66919016907443	0.21554530789022	3.12283503025864	0.10303185563151	-3.27883763266163	0.0422840692883484	0.723352054389152
"Transcript_100307.0"	5.31809507486528	10.4739876101684	0.16220253956218	24.1831034050215	4.59592749165552	0.0496925845690292	0.723352054389152
"Transcript_100353.0"	1.11789436032885	0	2.2357887206577	0.0321062240188315	-4.96100318866733	0.0249126261447565	0.723352054389152
"Transcript_100404.0"	3.1303014298935	0	6.26060285978699	0.0179098105573068	-5.80310611261163	0.00900889821067002	0.702047144869261
"Transcript_100459.0"	2.0818514131773	0	4.1637028263546	0.0275179304989503	-5.18348421432657	0.0441168656229608	0.723352054389152
"Transcript_100477.0"	3.86547748389017	7.73095496778033	0	25.0507428984798	4.6467814831406	0.013858399845472	0.722400749426229
"Transcript_100532.0"	3.4714228851842	0.436107977517434	6.50673779285096	0.149312157676185	-2.7435964538286	0.039785446204878	0.723352054389152
"Transcript_100550.0"	1.39671810946834	0	2.79343621893668	0.0441750652123386	-4.50062392525368	0.0143804046671545	0.722853337961222
"Transcript_100563.0"	0.602815562307422	1.20563112461484	0	8.80933513256833	3.13903313865278	0.0266144996229827	0.723352054389152
"Transcript_100578.0"	13.4654328653818	0	26.9308657307636	0.0218696132841227	-5.51492848004309	0.0133143022886145	0.722400749426229
"Transcript_100582.0"	16.4145371509157	25.5530039426294	7.27607035920189	22.4902432598228	4.49122736062035	0.00796130357947773	0.689132695483935
"Transcript_100593.0"	25.1913700691749	2.94816716934179	47.434572969008	0.0945427769950834	-3.40288894832551	0.0124747409568657	0.718529924853843
"Transcript_100613.0"	1.24643423184406	0	2.49286846368812	0.0834513190098075	-3.58292133714468	0.0219579548485334	0.723352054389152
"Transcript_100621.0"	71.2703375906989	0.280771973852498	142.259903207545	0.00373512147194441	-8.0646291222039	0.00475116399918943	0.666852152596639
"Transcript_100629.0"	0.895134896239294	1.79026979247859	0	18.1041020435252	4.17824471635872	0.0230938903901563	0.723352054389152
"Transcript_100633.0"	1.32344768338042	2.64689536676085	0	12.6077296208781	3.6562365958031	0.00822968968841715	0.693922698015283
"Transcript_100653.0"	3.43426291865114	6.86852583730229	0	25.2612295666573	4.65885295754992	0.0310162928673252	0.723352054389152
"Transcript_10066.0"	752.948682297712	0.16220253956218	1505.73516205586	0.000808131486489402	-10.273122334749	0.001773155599982	0.61828840085704
"Transcript_100673.0"	2.50445756171179	0	5.00891512342359	0.0414998890151126	-4.59074871156964	0.0320977774698725	0.723352054389152
"Transcript_100674.0"	0.823999363356146	0	1.64799872671229	0.0545455798007263	-4.19639389987938	0.0355046102124863	0.723352054389152
"Transcript_100676.0"	11.357846043063	0	22.715692086126	0.0132382411464853	-6.23914473362682	0.00513773414513323	0.666852152596639
"Transcript_100686.0"	1.09858177423697	0	2.19716354847394	0.0431799693669967	-4.53349396989966	0.0340297272145511	0.723352054389152
"Transcript_100698.0"	10.0104818890871	0.0812871807385946	19.9396765974356	0.0101538049175153	-6.62183574246307	0.00427605435408098	0.666852152596639
"Transcript_100763.0"	0.919884741410285	0.248689335470642	1.59108014734993	0.0926325222640792	-3.43233739292373	0.039759994627304	0.723352054389152
"Transcript_100778.0"	6.20854713087391	0	12.4170942617478	0.0229887062125708	-5.44293091524672	0.0161659509131119	0.723352054389152
"Transcript_100781.0"	11.011565519223	0	22.0231310384459	0.0059310901725466	-7.39748697888344	0.00500073423015108	0.666852152596639
"Transcript_100790.0"	3.05133997313668	0.248689335470642	5.85399061080272	0.0707321726115086	-3.82148961392738	0.0318470725711098	0.723352054389152
"Transcript_100796.0"	3.40621147880514	0	6.81242295761029	0.0423282196621847	-4.56223638003528	0.0292971100893454	0.723352054389152
"Transcript_100810.0"	7.63705218308163	0.643205221253859	14.6308991449094	0.0839625942545484	-3.57410944643729	0.0273488219286981	0.723352054389152
"Transcript_100837.0"	1.27030553071612	0	2.54061106143223	0.0342059540393595	-4.86960872093785	0.0243719130788675	0.723352054389152
"Transcript_100855.0"	0.499032492937003	0.998064985874007	0	8.69587534185804	3.12033125902067	0.0154821690097568	0.723352054389152
"Transcript_100856.0"	1.87587073839937	0	3.75174147679874	0.0577357608873046	-4.11439100480864	0.0407238347818225	0.723352054389152
"Transcript_100899.0"	2.70868155309062	0	5.41736310618124	0.0440278593988657	-4.50543948653361	0.0116943502676177	0.71795751365452
"Transcript_100902.0"	1.52735683344157	0	3.05471366688313	0.0233343045544299	-5.42140371929402	0.0324259718850799	0.723352054389152
"Transcript_100911.0"	5.73776382981095	0	11.4755276596219	0.0168402049418117	-5.89194649396327	0.00806980821225206	0.692396633754605
"Transcript_100949.0"	19.9961082757505	6.14247969523552	33.8497368562655	0.190994593316859	-2.38839629592141	0.0232119210799359	0.723352054389152
"Transcript_100954.0"	7.36792907760724	13.5792740367827	1.15658411843183	9.03195339227245	3.17503804136879	0.0384278215726701	0.723352054389152
"Transcript_100964.0"	3.98667930013151	0	7.97335860026302	0.020926367845741	-5.5785342625895	0.0280233982275965	0.723352054389152
"Transcript_101048.0"	3.1231159000089	0.0610942733376627	6.18513752668013	0.0792270297455172	-3.65786347377522	0.0477589950129941	0.723352054389152
"Transcript_10105.0"	125.824984159346	52.2650548614563	199.384913457235	0.236355475064255	-2.08096981044651	0.0426203175930553	0.723352054389152
"Transcript_101133.0"	1.11806585884024	0	2.23613171768048	0.0468241091351947	-4.41660464343162	0.0342978397207001	0.723352054389152
"Transcript_101153.0"	34.6423263143722	0.219677700514835	69.0649749282296	0.0180754108206246	-5.78982775243831	0.0107497765365137	0.710047085209127
"Transcript_101155.0"	9.95135688761306	0.238197228181662	19.6645165470445	0.0236749645326095	-5.40049392537639	0.00306377016663275	0.666852152596639
"Transcript_101160.0"	1.75015040541205	0	3.5003008108241	0.0318785308009064	-4.97127104899995	0.0191791056587174	0.723352054389152
"Transcript_101179.0"	2.25636528548967	3.54102676248036	0.971703808498981	7.54618083697494	2.91574667336309	0.0234818890769516	0.723352054389152
"Transcript_101259.0"	2.40542665332123	0	4.81085330664245	0.0403386536908679	-4.63169325520215	0.0287258166482615	0.723352054389152
"Transcript_101262.0"	2.51413936321379	0	5.02827872642757	0.0162117113812003	-5.94681979349998	0.0208788535107543	0.723352054389152
"Transcript_101271.0"	1.05889060280546	0	2.11778120561092	0.0347855383948856	-4.84536853951322	0.0089290328206153	0.700104869144753
"Transcript_101318.0"	32.9773776993732	10.7878016322845	55.1669537664619	0.141661922431118	-2.81947606917965	0.0296869530980763	0.723352054389152
"Transcript_101339.0"	104.926154559498	20.9039284566323	188.948380662363	0.1668355647883	-2.58350123011876	0.0277332081962284	0.723352054389152
"Transcript_101361.0"	1.39420942859984	0	2.78841885719969	0.0335758030961225	-4.89643428203752	0.025025765301541	0.723352054389152
"Transcript_101368.0"	1.70402458381931	0	3.40804916763862	0.0534019376824299	-4.22696409890843	0.0385573507265854	0.723352054389152
"Transcript_101450.0"	16.9807544204795	1.97069693444491	31.9908119065141	0.0618034908158943	-4.01616786231581	0.0195850617267467	0.723352054389152
"Transcript_101470.0"	5.75729300736001	1.32709232864952	10.1874936860705	0.148298674806526	-2.75342238892621	0.042739054938568	0.723352054389152
"Transcript_101477.0"	13.2750102219068	2.39575643910779	24.1542640047059	0.0761088166241406	-3.71579260118182	0.010002721533109	0.709724467428726
"Transcript_101558.0"	1.23180505797134	2.22541288776102	0.238197228181662	21.2082542542912	4.40655396599951	0.0197778045460385	0.723352054389152
"Transcript_101614.0"	1.34286807372755	2.68573614745509	0	19.1023296197435	4.25567668738409	0.0228354436749226	0.723352054389152
"Transcript_101634.0"	6.65122676593309	0	13.3024535318662	0.0203201252638467	-5.62094689411281	0.0035485124918255	0.666852152596639
"Transcript_101646.0"	1.58239060448509	2.67817359028364	0.486607618686539	8.65387411128738	3.11334613389334	0.0370141154954898	0.723352054389152
"Transcript_101659.0"	12.1690428518427	0	24.3380857036854	0.0114990910661244	-6.44233636045023	0.00497408604619312	0.666852152596639
"Transcript_101664.0"	1.82709804419759	0.21554530789022	3.43865078050497	0.0699659098819643	-3.83720403377276	0.0229235309115461	0.723352054389152
