Name	Classification	Specific_Tissue	Sex_Expression	Diff_Sex	log2_FC	Involved_in_Maturation	Involved_in_Growth
Transcript_274227.0	Others				0.24630712590586284	False	False
Transcript_274217.0	Others				1.1760171648551785	False	False
Transcript_274207.0	Others				0.10011288230211822	False	False
Transcript_27420.0	Others					False	False
Transcript_101178.0	Tissue Specific	Gonad	Female			False	True
Transcript_274159.0	Others					False	False
Transcript_239695.0	Others					False	False
Transcript_274156.0	Others				1.1604936448004335	False	True
Transcript_274135.0	Tissue Specific	Brain	Female		2.3559680239871117	False	False
Transcript_209790.0	Others				0.5068705983093051	False	True
Transcript_274133.0	Others					False	False
Transcript_274397.0	Others				2.0697419946307765	False	False
Transcript_274114.0	Expressed in All				0.48228705105117625	False	False
Transcript_24023.0	Others				0.7105193251184334	False	False
Transcript_37433.0	Others					False	False
Transcript_46889.0	Others					False	False
Transcript_62780.0	Others					False	False
Transcript_274112.0	Others				0.7347269651697032	False	False
Transcript_264102.0	Others					False	False
Transcript_274109.0	Others				0.04033661392337594	False	True
Transcript_236389.0	Tissue Specific	Liver	Male			False	False
Transcript_84352.0	Others					False	True
Transcript_274106.0	Others					False	False
Transcript_81188.0	Others					False	False
Transcript_274105.0	Others				0.15439469403277173	False	False
Transcript_232677.0	Others					False	False
Transcript_274101.0	Tissue Specific	Liver	Male		1.36935726812941	False	False
Transcript_274100.0	Others				0.27903909144069194	False	False
Transcript_150847.0	Others					False	False
Transcript_198144.0	Others				0.3330108628384891	False	False
Transcript_274082.0	Others				0.5879740946384441	False	False
Transcript_76728.0	Others					False	False
Transcript_274080.0	Tissue Specific	Skin	Male			False	False
Transcript_27468.0	Others				0.8747818712876405	False	False
Transcript_274079.0	Others					False	False
Transcript_23534.0	Others					False	False
Transcript_274078.0	Others				0.06249397393839621	False	False
Transcript_41186.0	Others					False	True
Transcript_274077.0	Others					False	False
Transcript_85987.0	Tissue Specific	Skin	Male			False	True
Transcript_274076.0	Others				1.733641134949615	False	False
Transcript_274073.0	Others				0.4906257242512152	False	False
Transcript_201467.0	Tissue Specific	Gonad	Female			False	True
Transcript_27407.0	Tissue Specific	Brain	Male			False	False
Transcript_47793.0	Others			Male	3.325995996167646	False	False
Transcript_266182.0	Others				1.4384978301705622	False	False
Transcript_228870.0	Others					False	True
Transcript_274039.0	Tissue Specific	Brain			0.49511798728115	False	False
Transcript_79499.0	Others					False	False
Transcript_274034.0	Others				0.9686249648127547	False	False
Transcript_274027.0	Others					False	True
Transcript_5349.0	Others				0.14565539892396917	False	False
Transcript_5905.0	Others					False	False
Transcript_258869.0	Others					False	False
Transcript_31590.0	Tissue Specific	Gonad	Male			False	False
Transcript_274015.0	Others				0.013623809151106097	False	False
Transcript_27399.0	Others					False	False
Transcript_70795.0	Others					False	False
Transcript_274274.0	Tissue Specific	Brain				False	False
Transcript_26501.0	Others					False	False
Transcript_197171.0	Others				1.0794364991653704	False	False
Transcript_273963.0	Others					False	False
Transcript_95114.0	Tissue Specific	Brain				False	False
Transcript_273961.0	Others				0.4233090693936039	False	False
Transcript_29761.0	Others			Male	3.3879877264041642	False	False
Transcript_273926.0	Others				0.14088091154878524	False	False
Transcript_273916.0	Others				0.5598865431893855	False	True
Transcript_27604.0	Others				0.872737285818994	False	False
Transcript_273905.0	Tissue Specific	Brain				False	False
Transcript_273898.0	Others				0.1381643950235325	False	False
Transcript_237670.0	Others					False	False
Transcript_273891.0	Others				0.5583237337442418	False	False
Transcript_83899.0	Others					False	False
Transcript_273887.0	Others				1.1292031957106614	False	False
Transcript_53745.0	Tissue Specific	Muscle				False	False
Transcript_273882.0	Others					False	False
Transcript_274451.0	Others					False	False
Transcript_273878.0	Tissue Specific	Brain	Female			False	False
Transcript_273870.0	Others					False	False
Transcript_264360.0	Tissue Specific	Kidney	Female			False	True
Transcript_18281.0	Tissue Specific	Brain	Female	Female	2.648263878106228	False	False
Transcript_193405.0	Others					False	True
Transcript_153834.0	Others					False	False
