"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
"Transcript_145794.0"	0.192344541478615	0.384689082957231	0	0	-Inf	0.0232543921264072	0.425617728026466
"Transcript_145869.0"	0.488628397123046	0.977256794246092	0	0	-Inf	0.0435388561410559	0.566237027869098
"Transcript_145888.0"	0.229512566804146	0.352631659377461	0.10639347423083	0.301712768554751	-1.72875234192008	0.0447101982191857	0.573076782204851
"Transcript_145976.0"	0.488273338996494	0	0.976546677992989	Inf	Inf	0.0282685338215218	0.450283397392993
"Transcript_145988.0"	0.235972740947122	0	0.471945481894244	Inf	Inf	0.00188701449803534	0.161451767950979
"Transcript_146045.0"	0.442215315827698	0.884430631655397	0	0	-Inf	0.0255156367805127	0.431260462310599
"Transcript_146140.0"	0.112200982529192	0.224401965058385	0	0	-Inf	0.0263751663240365	0.431260462310599
"Transcript_146226.0"	0.705106802264605	0	1.41021360452921	Inf	Inf	0.0261646189605256	0.431260462310599
"Transcript_146232.0"	0.395734962129276	0.738273187143137	0.0531967371154149	0.0720556266187426	-3.79474509902755	0.0478436724646912	0.578444056540221
"Transcript_146346.0"	0.310433616853365	0.567670496591315	0.0531967371154149	0.0937105899194072	-3.41564409855066	0.000846139592323136	0.110623484233496
"Transcript_146363.0"	0.261022031914404	0.522044063828809	0	0	-Inf	0.0455724323526865	0.578444056540221
"Transcript_146452.0"	0.352505138253807	0.705010276507613	0	0	-Inf	0.000814452080690133	0.110623484233496
"Transcript_146652.0"	0.369136593571568	0.738273187143137	0	0	-Inf	0.0283624958934596	0.451289433708531
"Transcript_146837.0"	0.201350907385102	0.402701814770203	0	0	-Inf	0.00412621372054259	0.215320019122768
"Transcript_146859.0"	0.160287117898846	0.320574235797692	0	0	-Inf	0.00412621380626716	0.215320019122768
"Transcript_146890.0"	0.442009479032862	0.0732401337120397	0.810778824353684	11.0701439669874	3.46860207934722	0.0377085129363238	0.552172482532345
"Transcript_146962.0"	0.679436399561145	1.35887279912229	0	0	-Inf	0.0220713092516023	0.41763734735628
"Transcript_146963.0"	0.41818435032134	0.0411827101322704	0.79518599051041	19.3087338826521	4.27118166150086	0.00972010375850991	0.348426374661289
"Transcript_146995.0"	0.253933939941895	0.50786787988379	0	0	-Inf	0.00222332979207932	0.161451767950979
"Transcript_147021.0"	0.243107998722967	0.433019260330519	0.0531967371154149	0.122850741269131	-3.02502153208291	0.0135019804643494	0.368838189042873
"Transcript_147071.0"	0.218942910036323	0.384689082957231	0.0531967371154149	0.138285018920928	-2.85428322400394	0.00782775906450326	0.314575828482099
"Transcript_147137.0"	0.411141764538736	0.0411827101322704	0.781100818945201	18.9667172567435	4.24539809481524	0.0294145947500855	0.463502180869135
"Transcript_147214.0"	0.491152849820743	0.932521538598316	0.0497841610431695	0.0533866071533325	-4.22737832458196	0.0412898844297283	0.554443026792109
"Transcript_147232.0"	0.186188579903952	0	0.372377159807905	Inf	Inf	0.0202872303103532	0.411952104390899
"Transcript_147278.0"	0.112200982529192	0.224401965058385	0	0	-Inf	0.0263751663240365	0.431260462310599
"Transcript_147284.0"	0.340335819847404	0.630887478651638	0.0497841610431695	0.0789113157699222	-3.66362399429405	0.00259351056312912	0.17986379920086
"Transcript_147303.0"	0.321025613134216	0	0.642051226268432	Inf	Inf	0.0018870144615638	0.161451767950979
"Transcript_147333.0"	0.314061558584121	0	0.628123117168243	Inf	Inf	0.000228448824143162	0.079687845193081
"Transcript_147372.0"	0.174244563651093	0	0.348489127302186	Inf	Inf	0.00887266474253754	0.323154692393743
"Transcript_147406.0"	0.230662634008151	0.361756945929963	0.0995683220863389	0.275235412081392	-1.86126199422417	0.0447101982326652	0.573076782204851
"Transcript_147420.0"	0.295641020937544	0.416746506537	0.174535535338088	0.41880503519612	-1.25564930732541	0.0458158640131139	0.578444056540221
"Transcript_147425.0"	0.159590211346245	0	0.31918042269249	Inf	Inf	0.0192394870097197	0.411952104390899
"Transcript_147458.0"	1.74852533942577	3.49705067885154	0	0	-Inf	0.0484652048748436	0.578444056540221
"Transcript_147506.0"	0.124460402607924	0	0.248920805215847	Inf	Inf	0.041718905579538	0.554443026792109
"Transcript_147553.0"	0.411271208692121	0.822542417384242	0	0	-Inf	0.0047643363474642	0.240068476899482
"Transcript_147568.0"	0.347950095455196	0.695900190910392	0	0	-Inf	8.5128203381087e-06	0.0682180272438673
"Transcript_147603.0"	0.374490520284404	0.0411827101322704	0.707798330436537	17.1867836808999	4.1032276803219	0.00400491219544511	0.215320019122768
"Transcript_147721.0"	0.513353686726672	1.02670737345334	0	0	-Inf	0.0135872164062072	0.368838189042873
"Transcript_147793.0"	0.47004010803481	0.940080216069619	0	0	-Inf	0.0109578907083693	0.365296710953196
"Transcript_147797.0"	0.160287117898846	0.320574235797692	0	0	-Inf	0.00412621380626716	0.215320019122768
"Transcript_147879.0"	0.428641612874129	0.750889751517429	0.10639347423083	0.14168987393399	-2.81919143717641	0.0437576077059758	0.568451191927643
"Transcript_147883.0"	0.116763625805443	0.233527251610886	0	0	-Inf	0.0263751662263832	0.431260462310599
"Transcript_147946.0"	0.334864495423496	0.505270484386816	0.164458506460176	0.325486074374121	-1.61933227457223	0.0277011419718325	0.443415006542221
"Transcript_147998.0"	0.381632316037357	0.677411776513359	0.0858528555613544	0.126736585542164	-2.98009504190703	0.00673752708011646	0.305125627472167
"Transcript_147999.0"	0.160287117898846	0.320574235797692	0	0	-Inf	0.00412621380626716	0.215320019122768
"Transcript_148023.0"	0.457184349017163	0.914368698034325	0	0	-Inf	0.0113645481517232	0.368838189042873
"Transcript_148093.0"	0.269652863639035	0.539305727278069	0	0	-Inf	0.000187418556740649	0.0682180272438673
"Transcript_148186.0"	0.284758411862288	0.569516823724577	0	0	-Inf	0.000100986835354262	0.0682180272438673
"Transcript_148226.0"	0.186188579903952	0	0.372377159807905	Inf	Inf	0.0202872303103532	0.411952104390899
"Transcript_148237.0"	0.262894864430545	0	0.525789728861089	Inf	Inf	0.000870233543640345	0.110623484233496
"Transcript_148333.0"	0.170856774666669	0.288516812217923	0.0531967371154149	0.184380025227904	-2.4392457247251	0.0394412875533879	0.554443026792109
"Transcript_148365.0"	0.347037440886568	0.694074881773135	0	0	-Inf	0.0022233297538405	0.161451767950979
"Transcript_148475.0"	0.358978045222706	0.668171929402242	0.0497841610431695	0.0745080103674921	-3.74646065149908	0.00382556458330253	0.215320019122768
"Transcript_148490.0"	0.486629072542677	0.973258145085354	0	0	-Inf	0.0133373370922133	0.368838189042873
"Transcript_148554.0"	0.192344541478615	0.384689082957231	0	0	-Inf	0.0232543921264072	0.425617728026466
"Transcript_148558.0"	0.393939490867351	0.787878981734702	0	0	-Inf	0.00265184844674092	0.183258989004613
"Transcript_148827.0"	0.206252970124883	0	0.412505940249766	Inf	Inf	0.00887266466826568	0.323154692393743
"Transcript_148890.0"	0.323904383354907	0.104308647636067	0.543500119073748	5.21049914260244	2.38142158288084	0.0194557338559459	0.411952104390899
"Transcript_148897.0"	0.295626959159027	0.0521543238180335	0.53909959450002	10.336623218066	3.36969305595559	0.0423387000284436	0.554443026792109
"Transcript_148942.0"	0.255713376242337	0	0.511426752484674	Inf	Inf	0.00188701448589064	0.161451767950979
"Transcript_148962.0"	0.207265422966743	0.414530845933486	0	0	-Inf	0.00765772105738286	0.314575828482099
"Transcript_149022.0"	0.435316037991952	0.0521543238180335	0.81847775216587	15.6933824896578	3.97208443349803	0.0146503615678208	0.377712489484134
"Transcript_149028.0"	0.339410196984489	0.489986640249039	0.188833753719939	0.385385515049885	-1.37562574680955	0.0187668591846314	0.411952104390899
"Transcript_149055.0"	0.364825246767044	0.0961722707393076	0.633478222794781	6.58691136150812	2.71960213625233	0.0314338325089126	0.488357755219325
"Transcript_149087.0"	0.23491396276243	0	0.46982792552486	Inf	Inf	0.00188701449575666	0.161451767950979
"Transcript_149090.0"	0.393308705787733	0.105297557291809	0.681319854283658	6.47042411815433	2.69386027993096	0.0483934338875983	0.578444056540221
"Transcript_149108.0"	0.160287117898846	0.320574235797692	0	0	-Inf	0.00412621380626716	0.215320019122768
"Transcript_149173.0"	0.263677284431428	0.46668516975152	0.0606693991113367	0.130000700780013	-2.94340869464037	0.0231550521478702	0.425617728026466
"Transcript_149183.0"	0.393563956685495	0.78712791337099	0	0	-Inf	0.0021035672397142	0.161451767950979
"Transcript_149271.0"	0.495635438449163	0.991270876898326	0	0	-Inf	0.0178909729208573	0.411952104390899
"Transcript_149287.0"	1.14142764121264	0	2.28285528242529	Inf	Inf	0.0254120141990661	0.431260462310599
"Transcript_149297.0"	0.192344541478615	0.384689082957231	0	0	-Inf	0.0232543921264072	0.425617728026466
"Transcript_149330.0"	0.22821038336315	0.352631659377461	0.103789107348839	0.294327252215723	-1.76450696505817	0.0135019805677887	0.368838189042873
"Transcript_149360.0"	0.131285554752415	0	0.262571109504829	Inf	Inf	0.0417189054593283	0.554443026792109
"Transcript_149391.0"	0.160287117898846	0.320574235797692	0	0	-Inf	0.00412621380626716	0.215320019122768
"Transcript_149517.0"	0.270599464342357	0.491414767641544	0.0497841610431695	0.101307824512681	-3.30318248985293	0.013501980332301	0.368838189042873
"Transcript_149563.0"	0.128229694319077	0.256459388638154	0	0	-Inf	0.0142117441530802	0.368838189042873
"Transcript_149627.0"	0.48605460279226	0.0897101775738919	0.882399028010628	9.83610836444749	3.29808762919892	0.0224017265683331	0.421817918970742
"Transcript_149686.0"	0.190003759517483	0.380007519034965	0	0	-Inf	0.00222332984533829	0.161451767950979
"Transcript_149702.0"	0.322002363190197	0.644004726380393	0	0	-Inf	0.00119799789742115	0.128111452017329
"Transcript_149787.0"	0.144139485462947	0.288278970925893	0	0	-Inf	0.0263751659252071	0.431260462310599
