"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pvalue"	"padj"
"Transcript_100070.0"	1.83759516054813	0.160287117898846	3.51490320319742	8.24554332673392	3.04361456084996	0.0198349272381444	0.999933927310508
"Transcript_100082.0"	1.58499404563242	0.318555865262512	2.85143222600233	5.29978165144618	2.40593292253153	0.0458051273638604	0.999933927310508
"Transcript_100260.0"	2.38973725392241	4.13677577172495	0.642698736119863	0.21355334820482	-2.22733157737735	0.0469467098597566	0.999933927310508
"Transcript_100477.0"	0.863091225889547	0	1.72618245177909	10.0134910531649	3.32387313070283	0.0461312769110504	0.999933927310508
"Transcript_100550.0"	0.776083000279469	1.55216600055894	0	0.0846208419317866	-3.56284314997067	0.0357640329001159	0.999933927310508
"Transcript_100600.0"	14.4503799063534	6.30118438790881	22.5995754247981	2.73484230468613	1.45145764734823	0.0462728885928303	0.999933927310508
"Transcript_100698.0"	5.42259927164222	10.7593456877231	0.0858528555613544	0.0519391334457066	-4.26703424553143	0.0105129400761648	0.999933927310508
"Transcript_100741.0"	1.37397404460587	2.35656551948832	4.38113785337954	0.216053661625679	-2.21053841330272	0.0463992574164322	0.999933927310508
"Transcript_100763.0"	0.818501301346061	1.57633320358079	0.0606693991113367	0.1133489735687	-3.14115676807025	0.0428128147379437	0.999933927310508
"Transcript_100790.0"	0.777819026619006	1.50585389219484	0.0497841610431695	0.113562205683277	-3.13844531942479	0.0467414976722381	0.999933927310508
"Transcript_100810.0"	2.59216990807902	4.75129325723881	0.433046558919241	0.150592401575619	-2.73127911694743	0.0471825082051565	0.999933927310508
"Transcript_100949.0"	4.06470566008693	6.89742363186619	1.23198768830767	0.209452659654658	-2.25530389105426	0.00525514147681794	0.999933927310508
"Transcript_101002.0"	1.58620917952702	0.248942587926885	2.92347577112716	5.37769289799056	2.42698737008686	0.0257233218923329	0.999933927310508
"Transcript_10105.0"	46.3102577320184	69.5223916667664	23.0981237972705	0.341713171757375	-1.54914223558141	0.0452873506249216	0.999933927310508
"Transcript_101155.0"	3.00542263899933	5.95017587888733	0.0606693991113367	0.0412309158694481	-4.60012968135895	0.00187109799818071	0.999933927310508
"Transcript_101160.0"	1.11865225758556	2.23730451517112	0	0.0889354713972901	-3.49109724538449	0.0452296251429298	0.999933927310508
"Transcript_101179.0"	2.52599287995643	0.331127649742698	4.72085811017016	7.43617884533183	2.89456146850518	0.0148126447462749	0.999933927310508
"Transcript_101271.0"	0.737727723894568	1.47545544778914	0	0.0807901861094639	-3.62967613579659	0.0307406258109806	0.999933927310508
"Transcript_101470.0"	2.43149259267187	4.43676377856899	0.42622140677475	0.17424172628282	-2.52083794228942	0.040671014673371	0.999933927310508
"Transcript_101477.0"	4.89243405337474	9.14991983743674	0.634948269312734	0.112662735714423	-3.14991768576594	0.0115379114582298	0.999933927310508
"Transcript_101558.0"	2.65070662688359	0.0411827101322704	5.26023054363491	15.9491213871357	3.99540504518874	0.00886605335676201	0.999933927310508
"Transcript_101634.0"	1.19619809552601	2.39239619105202	0	0.0551769775003996	-4.17978975926357	0.0107670981607416	0.999933927310508
"Transcript_101646.0"	1.94569064390166	0.156462971454101	3.73491831634921	9.34510277966152	3.22421053116065	0.0151523837977397	0.999933927310508
"Transcript_101662.0"	7.66429132051173	13.2690512113762	2.05953142964724	0.263467006150756	-1.92430578973465	0.0409337263969938	0.999933927310508
"Transcript_101664.0"	1.61647629504894	3.14709973453653	0.0858528555613544	0.0922535853338209	-3.43825120876094	0.0208589847996562	0.999933927310508
