Average Semantic Similarity	0.025	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275	0.3	0.325	0.35	0.375	0.4	0.425	0.45	0.475	0.5	0.525	0.55	0.575	0.6	0.625	0.65	0.675	0.7	0.725	0.75	0.775	0.8	0.825	0.85	0.875	0.9	0.925	0.95	0.975	0.99
Interval Name	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
MIC	0.0069461	0.8019401	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
DC	0.0399997	0.9294998	0.9962207	0.9980318	0.9986433	0.998964	0.9991784	0.9993282	0.9994434	0.9995362	0.9996146	0.9996797	0.9997331	0.9997772	0.9998212	0.9998619	0.9999036	0.9999408	0.999985	1.0000014	1.0000014	1.0000016	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
SOB	14.6751897	2.5693419	0.6969669	0.499206	0.4030539	0.3461602	0.3021126	0.2681305	0.2377788	0.2074921	0.1838661	0.1636302	0.1448543	0.1241978	0.1026785	0.0717338	0.0516782	0.022982	0.003608	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
FSH	1.5707963	0.5588384	0.1095245	0.0809937	0.0671233	0.0587891	0.0523421	0.0470798	0.0429165	0.0395126	0.0360968	0.0332172	0.0299758	0.0268385	0.0238215	0.020333	0.017524	0.0143484	0.0065419	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
SPR	0.000171	0.6699907	0.9054617	0.9296123	0.9392335	0.9461447	0.9502479	0.9543434	0.9577846	0.9605061	0.9638841	0.966661	0.9706198	0.9754601	0.9912226	0.9974922	0.998556	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
PRS	1e-07	0.8522364	0.9938362	0.9966328	0.9977024	0.9982385	0.9985947	0.9988601	0.9990636	0.9992023	0.9993321	0.9994341	0.9995366	0.9996251	0.9997052	0.9997823	0.9998469	0.9998912	0.9999777	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
