Average Semantic Similarity	0.025	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275	0.3	0.325	0.35	0.375	0.4	0.425	0.45	0.475	0.5	0.525	0.55	0.575	0.6	0.625	0.65	0.675	0.7	0.725	0.75	0.775	0.8	0.825	0.85	0.875	0.9	0.925	0.95	0.975	0.99
Interval Name	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
MIC	0.0069461	0.6365303	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
DC	0.0399997	0.5055544	0.9956982	0.9978766	0.9985706	0.9989166	0.9991366	0.9992899	0.9994055	0.9994959	0.9995743	0.9996381	0.9996969	0.9997407	0.9997774	0.9998172	0.9998509	0.9998855	0.9999209	0.9999507	0.9999901	1.0000013	1.0000014	1.0000014	1.0000014	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
SOB	14.6752435	4.4201813	0.7458761	0.5141246	0.4154479	0.3534189	0.3110342	0.2745988	0.2457983	0.2214257	0.198064	0.1756179	0.1586715	0.1406026	0.122536	0.1035357	0.0795015	0.0596744	0.0333152	0.0190823	0.003608	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
FSH	1.5707963	0.8999414	0.1185362	0.0831638	0.0685939	0.059755	0.053314	0.0482693	0.0441181	0.0406242	0.0373708	0.0347144	0.031749	0.0290773	0.026492	0.0240456	0.0214709	0.0186287	0.0163047	0.0127423	0.0047842	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
SPR	0.000171	0.5377815	0.8810565	0.92343	0.9369123	0.9439333	0.949564	0.9536097	0.9570867	0.9598222	0.9632416	0.9659771	0.9697384	0.9745256	0.9855596	0.9949843	0.9982669	0.9982669	0.998556	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
PRS	1e-07	0.4296483	0.9930774	0.9964459	0.9976088	0.9981678	0.99855	0.9988074	0.9990089	0.9991585	0.9992828	0.9993802	0.999475	0.9995572	0.9996315	0.9996962	0.9997602	0.9998259	0.9998774	0.9999152	0.9999877	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
