confidenceLevel	metrics
19	DC
21	DC
22	DC
23	DC
24	DC
25	DC
26	DC
27	DC
20	DC
18	DC
17	SOB-PRS-DC-FSH
16	DC-PRS-FSH
15	FSH-SPR
12	SPR
14	SPR-DC-PRS-FSH
11	SPR
10	SPR
13	FSH-SPR
9	SPR
8	SPR
7	SPR
6	SPR
5	SPR
4	SPR
3	SPR
2	FSH
1	FSH
