Average Semantic Similarity	0.025	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275	0.3	0.325	0.35	0.375	0.4	0.425	0.45	0.475	0.5	0.525	0.55	0.575	0.6	0.625	0.65	0.675	0.7	0.725	0.75	0.775	0.8	0.825	0.85	0.875	0.9	0.925	0.95	0.975	0.99
Interval Name	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
DC	0.0399998	0.5530916	0.9724365	0.9924542	0.995542	0.9967806	0.9975359	0.9979781	0.9983178	0.9985791	0.9987752	0.9989318	0.9990649	0.9991848	0.9992947	0.9993849	0.999474	0.9995636	0.9996524	0.9997488	0.9999138	1.0000003	1.0000007	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000017	1.0000017	1.0000017	1.0000017	1.0000017	1.0000017	1.0000017	1.0000017
MIC	0.0069461	0.6365366	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
SOB	14.6752015	2.2491598	0.5642867	0.3876948	0.3280574	0.2924303	0.2618604	0.2353494	0.2142164	0.1969769	0.1809104	0.1667265	0.1543328	0.1430101	0.1306242	0.1188285	0.1064412	0.0935212	0.0803968	0.0639201	0.0249216	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
FSH	1.570796	0.5683497	0.137908	0.098019	0.0843338	0.0764132	0.0704922	0.0656343	0.0614478	0.0575205	0.0540031	0.0506174	0.0476125	0.0449575	0.0419981	0.039269	0.0361875	0.0332208	0.0297943	0.0246987	0.0153907	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
SPR	0.000171	0.5377815	0.8810565	0.92343	0.9367097	0.9439333	0.949564	0.9536097	0.9570867	0.9598222	0.9632416	0.9659771	0.9697384	0.9745256	0.9855596	0.9945299	0.9982669	0.9982669	0.998556	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
PRS	1e-07	0.4525114	0.9679308	0.991244	0.9946689	0.9961363	0.9969284	0.9974844	0.9978809	0.9981777	0.9984216	0.99863	0.9987847	0.9989156	0.9990523	0.9991744	0.9992991	0.9994093	0.9995253	0.9996735	0.9998704	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
