Average Semantic Similarity	0.025	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275	0.3	0.325	0.35	0.375	0.4	0.425	0.45	0.475	0.5	0.525	0.55	0.575	0.6	0.625	0.65	0.675	0.7	0.725	0.75	0.775	0.8	0.825	0.85	0.875	0.9	0.925	0.95	0.975	0.99
Interval Name	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
DC	0.0399998	0.6952936	0.9880609	0.9942629	0.9961645	0.9971361	0.9977315	0.998135	0.9984458	0.9986873	0.9988776	0.9990364	0.9991699	0.999288	0.9993925	0.9995032	0.9996144	0.9997189	0.9998855	1.0000004	1.0000011	1.0000013	1.0000014	1.0000014	1.0000014	1.0000016	1.0000016	1.0000016	1.0000016	1.0000016	1.0000017	1.0000017	1.0000017	1.0000017	1.0000017	1.0000017	1.000002	1.000002	1.000002	1.000002
MIC	0.0069461	0.8019401	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
SOB	14.6737598	1.0748411	0.4454336	0.3575336	0.3132296	0.2821727	0.251654	0.228517	0.2085897	0.1892306	0.1737986	0.1588706	0.1449787	0.1317303	0.1179505	0.1037155	0.088948	0.0710635	0.0381519	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
FSH	1.570796	0.3035222	0.1105914	0.0905792	0.0810651	0.0742752	0.0689037	0.0643272	0.0600815	0.056096	0.0524741	0.0488403	0.0454036	0.0420492	0.0387262	0.0349659	0.0316343	0.02662	0.017329	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
SPR	0.000171	0.6704279	0.9054617	0.9296123	0.9392335	0.9461447	0.9502479	0.9543434	0.9577846	0.9605061	0.9638841	0.966661	0.9706198	0.9754601	0.9912226	0.9974922	0.998556	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
PRS	1e-07	0.6438334	0.9841122	0.9930828	0.9953141	0.9964254	0.9971626	0.9976529	0.9980292	0.9983215	0.9985588	0.9987553	0.9989128	0.9990666	0.9992067	0.9993522	0.9994691	0.9996281	0.9998384	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
