Average Semantic Similarity	0.025	0.05	0.075	0.1	0.125	0.15	0.175	0.2	0.225	0.25	0.275	0.3	0.325	0.35	0.375	0.4	0.425	0.45	0.475	0.5	0.525	0.55	0.575	0.6	0.625	0.65	0.675	0.7	0.725	0.75	0.775	0.8	0.825	0.85	0.875	0.9	0.925	0.95	0.975	0.99
Interval Name	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
DC	0.0399997	0.0399997	0.0399997	0.3792698	0.9768192	0.9951005	0.996937	0.9978303	0.9983286	0.998667	0.9988951	0.9990772	0.9992266	0.9993689	0.9994893	0.9996035	0.9997251	0.9999094	1.0000003	1.0000008	1.0000014	1.0000014	1.0000014	1.0000015	1.0000015	1.0000016	1.0000016	1.0000016	1.0000016	1.0000017	1.0000017	1.000002	1.000002	1.000002	1.000002	1.000002	1.000002	1.000002	1.000002	1.000002
MIC	0.0045328	0.0045328	0.0045328	0.4249997	0.9612366	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
SOB	14.6752452	14.6752452	14.6752452	4.9481261	0.9552872	0.3960406	0.3068656	0.2575516	0.2207067	0.1933912	0.1706441	0.1532026	0.1365088	0.1214747	0.105852	0.0893497	0.069744	0.0283514	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
FSH	1.5707963	1.5707963	1.5707963	1.0281281	0.2650299	0.0999969	0.0806637	0.0710326	0.0638451	0.0577213	0.052676	0.0477726	0.0439299	0.0401681	0.0358249	0.0319605	0.0261774	0.0159499	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
SPR	0.000171	0.000171	0.000171	0.3174778	0.8201757	0.9095578	0.9343656	0.9447116	0.9522996	0.9577846	0.9632416	0.9697384	0.9835897	0.9942238	0.9982669	0.9982669	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
PRS	1e-07	1e-07	1e-07	0.2259452	0.96859	0.9942469	0.9963492	0.9973255	0.9978944	0.9982961	0.9985954	0.9988086	0.9989893	0.9991576	0.999321	0.9994599	0.9996351	0.9998623	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
