Name	heart1	spleen1	lung1	colon1	liver1	kidney1	skeletal_muscle_tissue1	brain1	testis1	brain2	kidney2	colon2	liver2	lung2	skeletal_muscle_tissue2	spleen2	testis2	brain3	colon3	heart3	kidney3	liver3	lung3	skeletal_muscle_tissue3	spleen3	testis3
MGI:3716138	0	2.942	2.283	1146.73	0	18.218	4.327	0	1497.98	0	0	16.418	0	0	0	0	1418.22	0	7.524	0	0	0	0	0	0	231.371
MGI:3603513	288.254	1097.28	114.714	197.375	51.857	115.445	84.963	606.356	123.967	133.24	149.069	7.913	33.736	19.279	4.89	32.126	0	28.817	10.504	12.307	7.042	0	21.738	9.219	160.938	0
MGI:3705207	5	9.003	7	1	0	3	2	65	44	74	9	1	1	9	3	0	31	21	2	0	1	0	20	0	15	8
MGI:2442715	11.011	23.044	24.075	13.628	0.001	57.693	17.011	88.61	74.106	94.205	112.263	5.024	92.993	33.001	19	19.027	36.579	33.035	4.036	1.014	7.023	17.025	61.073	9.019	19.005	29.829
MGI:3603753	6.302	315.262	17.729	70.489	72.718	114.565	34.087	1403.01	824.127	919.16	69.723	31.24	35.609	49.837	28.743	237.522	334.169	625.481	37.426	8.078	15.941	15.926	62.827	24.137	172.501	213.73
MGI:1925776	7.264	62.077	233.826	77.652	19.654	181.02	12.49	35.656	603.779	89.793	169.938	54.445	85.869	239.145	14.826	62.644	292.482	18.026	4.578	2.971	34.449	14.629	464.715	4.872	38.511	136.701
MGI:1918695	158.913	1295.08	275.059	342.008	204.213	478.194	138.817	744.127	324.543	878.603	484.189	151.911	290.465	363.905	173.177	1376.59	238.803	282.736	97.949	49.513	73.494	82.016	572.048	49.939	1324.03	56.245
MGI:98974	132.416	174.519	151.751	120.32	0.005	106.889	0.016	25.611	86.754	47.171	15.254	21.575	54.307	233.554	1.986	39.4	31.563	11.886	52.396	31.172	0.009	33.668	472.283	0	235.689	17.677
MGI:1336196	100.743	138.308	228.223	87.508	0.102	178.775	1.213	41.382	0.232	78.712	31.967	0.107	85.455	209.936	1.79	10.157	0.488	39.948	39.097	36.84	108.368	47.14	492.133	0.056	314.182	0.619
MGI:1923636	0	0	0	0	0	0	0	0	1943.64	0	0	0	0	0	1.171	0	1160.59	0	0	0	0	0	0	0	0	844.238
MGI:1921646	44.53	708.157	151.241	504.078	86.558	336.776	55.568	276.823	1467.72	549.759	282.849	121.789	178.556	180.048	81.233	682.589	1031.24	134.113	56.935	28.607	80.651	50.746	498.634	14.402	637.922	264.613
MGI:2444570	57.514	353.593	50.81	100.709	1.867	140.448	152.683	563.637	63.61	646.925	244.012	71	100.007	118.014	93.002	185.029	59.125	200.3	54.224	34.429	46.682	44.784	237.113	54.849	147.422	12.521
MGI:3705152	0	0	2.056	0	0	1.013	0	3.162	6	5.386	0	0	0	0	0	0	0	0	0	1	0	0	4.086	0	0	0
MGI:3780324	1.001	11.572	0	0	0	10.101	3	33.189	5.091	51.985	3	3	0	0	10	0	5.099	31.05	0	1	6.077	0	4.034	0	0	1.001
MGI:1921933	0	1.79	0.001	0	0	3.91	0	3.004	1905.49	7.001	1.077	1.143	0	1	0	0	1010.33	2.292	0	0	2.001	0	1.143	1.003	0	635.179
MGI:3641976	8	39.002	14.017	2	31	37	7	34.006	1	86	45	4	23	45	8	9	2	34.007	4.001	7	16	7.001	53.5	6.003	22.007	0
MGI:3705147	83.978	282.798	116.213	217.206	104.59	458.956	108.283	339.104	508.31	350.116	378.061	60.457	115.384	82.302	105.542	164.624	316.367	88.839	75.09	20.056	73.683	30.426	194.21	34.447	149.739	129.201
MGI:3705165	95.309	397.867	148.53	182.019	89.708	328.408	175.487	37134.4	60.332	68972.2	503.144	213.619	148.545	273.453	356.439	561.213	37.416	18527.7	163.491	38.8	64.814	47.39	335.949	50.069	339.579	25.693
MGI:3649346	0	4	18	3	1	18	6	24	14	28	25	7	7	10	2	20	21	5	0	0	8	0	50	0	16	2
MGI:2147732	24.001	142.292	27.536	63	7	114.362	177.798	155.275	470.826	146	26	14	6	21	108	32	244	81.344	36	7	18.014	3.093	86.038	58.023	53.001	235.051
MGI:3052329	0	3.007	2.03	1.005	1.019	2354.22	219.349	430.598	96.714	539.051	1319.54	0	0.003	0	139.008	0	102.391	199.88	0	0	428.867	0	0	97.475	3.182	10.134
MGI:1923050	1.079	5.551	0	3.277	2	9.031	5.628	20.091	1453.81	58.28	3.001	0	2.036	3.029	4.101	4.455	2324.47	13.853	0	0	6.125	0	2	0	3.058	374.943
MGI:2444948	62.888	552.039	96.922	117.275	168.569	200.638	195.12	826.069	374.517	1456.12	210.859	54.034	583.116	137.585	322.846	763.215	269.646	329.999	51.251	31.727	17.573	127.819	265.836	91.257	549.481	83.301
MGI:1349458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGI:1921149	0	1969.44	51.015	165.067	0	0	2.035	0	5.375	0	10.758	202.183	0	164.562	4.142	701.841	3.448	0	42.505	3.469	0	0	122.236	1.999	434.045	0
MGI:1922306	22.826	276.919	29.427	82.006	4.806	184.184	72.019	121.096	551.152	122.176	176.218	36.973	78.808	31.332	70.485	149.198	483.493	52.366	22.74	3.52	41.779	16.95	115.453	26.98	163.41	87.773
MGI:3642139	0	6	1	25765	4	7221	1	6	17	6	6642	6261	11526	3	0	4	6	5	633	0	302	2736	2	0	2	2
MGI:2686464	24.009	11.213	170.13	2.142	1.046	10.05	3.01	18.056	359.242	25	8.001	16.014	0	183	2.011	14.011	219.252	13.934	0	14.023	1.001	0	295.397	2.009	3.002	82.179
MGI:3641826	3.061	4.072	0	32.287	0	6.702	0	250.376	43.315	490.391	5.018	25.04	0	0	1	5.006	36.074	140.248	7.088	1.002	4.95	0	3.494	10.673	5.093	19.315
MGI:2443002	0.005	66.862	0.01	0.012	0.009	0.004	0.009	0.006	1833.46	0.008	0.004	0.011	38.182	0.01	0.011	0.01	1721.4	0.008	0.012	0.003	0.005	0.011	29.456	0.008	131.68	109.088
MGI:3642424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGI:2443529	3.134	11.9	7.583	3.748	25.75	61.446	2.347	5.295	28.641	5.087	38.12	1.054	1.007	15.882	0.042	8.778	13.973	8.408	0	1.648	5.207	0	30.165	0.006	19.141	10.249
MGI:1924860	23.269	119.423	1126.74	87.782	60.646	1363.99	81.297	5546.56	392.094	5017.06	4459.01	15.508	4952.46	526.031	70.401	29.233	1096.5	713.398	21.007	1.34	652.929	349.132	863.441	22.313	25.536	74.735
MGI:3781903	0	0.002	0.015	1.107	1.025	0	1.011	6.643	68.43	29.397	0.002	1.019	0	0	0	0	19.257	1.042	0	0	1.003	0.001	3.065	0	0.001	10.836
MGI:3698434	280.947	7691.67	500.403	905.22	33.259	781.47	203.23	186.538	14.69	215.924	194.891	383.686	212.083	1041.12	193.143	6546.14	22.56	77.034	276.617	240.007	205.035	88.648	1184.26	61.484	7229.41	0
MGI:3641658	1	2	1	0.97	0	0	0	1.049	2	0	0	0	2	0	0	2	1	0	0	0	0	0	3	0	0	0
MGI:3763743	258	2806.1	297.077	1251.45	2.006	388.102	212.409	407.12	263.013	469	324	379	293	377	188	1675	251	190.062	675.135	112.056	135.041	205.077	897.591	97.044	4314.81	138.045
MGI:3705162	17.035	184.728	55.032	124.202	31.11	153.416	25.002	36.172	1620.48	47.022	113.069	63.005	49	50.752	25	86.065	1357.42	22.011	77.227	16.001	86.148	31.007	195.462	26.24	198.873	460.317
MGI:3642580	21.183	97.365	50.819	87.797	1.283	44.043	546.765	132.779	16.443	249.593	70.992	31.708	66.817	62.17	434.014	256.362	17.482	91.573	22.922	11.346	21.975	10.367	166.787	116.652	211.198	1.249
MGI:1914211	30586.8	44818.4	42806.6	66622.8	69972.8	94708.2	57649.1	7069.7	12361.4	13046.1	137074	49924.2	70229.9	98862	124859	58741.1	11291.4	393.141	3638.71	5629.97	12532	11375.1	82106.6	14265.7	12439.1	1703.38
MGI:1923763	0	0	10.109	131.648	0	141.056	0	0	150.665	0	38.016	40.602	0	5.248	0	0	211.828	1	26.522	0	69.991	0	19.502	0	0	73.929
MGI:3801953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGI:1918210	0.019	2.218	2.253	5.122	1.047	1.047	1.108	8.692	1137.58	16.111	4.587	26.144	1.148	18.969	8.882	647.691	802.182	4.237	0.001	0.001	0.001	0.001	7.171	2.042	0.75	389.882
MGI:1921235	0	16	1	0	0	3	20	1	72	3	0	1	0	1	10	9	34	5	0	1	2	0	7	1	11	14
MGI:3642582	0	0	3.003	8660.64	0	610.712	0	2.017	25.908	5	1114	3300.01	0	2	0	0	16.006	4.004	1458.95	0	341.798	2.002	9.019	0	1.001	6.89
MGI:3583306	0	1	0	0	0	0	0	0	0	1.684	0	0	0	0	0	0	6.237	0	0	0	0	0	0	0	0	1
MGI:3604191	71.014	19.908	0	2.506	0	0	642.636	0	7.555	8.393	0	0	0	0	747.18	33.103	18.997	1.537	1.435	30.512	0	0	4.441	0	22.112	7.134
MGI:2685802	1.037	27.047	23.863	75.815	72.433	112.525	4.717	130.099	14.947	122.491	32.346	33.891	1.058	37.158	1.006	17.808	12.997	52.695	17.426	0	16.192	2.169	93.307	1.159	51.369	9.895
MGI:1917407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.734	0	0
MGI:1920651	3.995	8.874	9.099	34.124	0.01	25.034	11.332	21.151	984.403	48.22	29.047	14.068	2.935	10.006	35.855	0.092	894.211	6.076	6.072	0	10.067	0	31.815	5.026	0.016	279.897
MGI:3782397	34.261	173.472	115.647	57.218	228.342	66.577	15.291	156.356	110.331	226.967	67.774	24.881	7.308	102.834	21.706	117.519	62.186	41.593	15.564	10.34	8.155	10.289	184.98	27.433	191.765	34.837
MGI:2442887	0	0.001	0.001	0.001	0	0.001	0	326.916	0	359.596	0	0	0	0	0	76.188	0	91.391	0	0	0	0	0.001	0	30.341	0
MGI:3588234	388.026	875.085	256.608	734.08	191.16	1319.24	377.929	711.229	626.292	1257.99	2148.66	889.132	1187.52	995.228	806.233	1235.37	879.527	319.356	120.25	186.816	286.451	145.203	707.481	217.619	626.662	204.735
MGI:2673990	1	19	7	16	0	1	6	1	0	2	0	6	1	1	2	1	0	0	1	0	0	0	9	0	3	0
MGI:1916843	0.832	6.003	1.034	1	0	0	1	117.016	809.753	166.725	1	0	0	0	3	8.002	437.978	23.503	0	0	2.003	0	2	0	7.219	167.507
MGI:1922620	3.012	1.027	2.004	7.785	1.001	6.673	5.011	6.025	68.065	9.004	4.002	3.002	4.002	0	2	1.001	44.063	4.004	0	2.002	2.006	2.95	8.045	2.001	0	17.142
MGI:3645649	5.436	19.563	7.027	4.399	2.962	5.915	0	11.27	153.241	7.514	0	0	1.118	11.057	0	26.942	39.485	0	0	0	5.005	0	9.084	0	51.226	10.356
MGI:1925118	0	13.072	1.002	1.001	0	0	0	122.828	4.035	386.295	2.663	0	1.006	2.751	2.009	2.093	6.901	2.123	0	0	0	0	0	1.012	4.179	2.006
MGI:1915781	40.965	176.905	45.864	187.086	161.14	128.535	204.965	124.065	3278.98	81.345	81.397	62.049	78.691	35.818	93.754	63.451	2181.99	14.401	29.488	15.221	29.086	21.788	100.539	90.031	113.712	846.231
MGI:1924783	60	558	49	152	7	117	86	198	93	275	113	66	66	130	83	441	80	75	48	34	18	16	186	17	444	26
MGI:5446626	0	0	0	0	0	2	0	0	0	0	1	0	119	0	0	0	0	0	0	0	0	31	0	0	0	0
MGI:3525105	0	2	0	0	0	0	1	0	13370	0	0	0	0	0	4	0	10535	0	0	0	12.021	0	0	0	2	4131.62
MGI:1918627	14.818	239.136	61.333	41.981	0	37.57	11.117	29.744	374.725	37.326	64.568	48.843	27.773	99.116	26.367	359.886	310.653	7.651	12.083	34.612	9.466	2.465	337.739	14.718	253.494	69.872
MGI:3779386	32.366	699.646	145.781	448.769	121.872	139.616	48.897	24.83	365.295	19.999	114.538	295.27	260.788	413.68	40.597	1793.51	91.564	1.201	140.646	26.433	19.372	28.962	680.265	5.289	741.424	105.474
MGI:1918663	12.531	47.967	55.142	111.217	35.72	44.258	17.234	11.052	52.25	12.79	46.501	110.515	142.544	105.157	9.327	130.936	34.906	1.093	78.121	18.131	14.409	33.032	465.277	1.156	140.384	12.395
MGI:3704476	110.295	323.702	84.444	239.396	183.71	228.953	586.001	871.526	38534.3	1201.96	279.187	95.757	230.964	126.355	2610.29	400.382	51874.8	361.995	57.78	65.585	117.242	72.651	359.02	396.09	503.571	14165
MGI:3801940	0	0	0	0	0	36.191	0	0	0	0	0	0	41.278	119.168	65.275	1192.67	0	0	58.674	0	0	16.998	265.94	34.844	210.118	373.605
MGI:3603459	0	662.778	15.378	74.332	0	5.666	1	3.076	212.322	7.461	5.578	74.379	3.14	23.985	3.91	707.319	325.446	0	33.015	2	6	0	67.996	0	512.024	78.791
MGI:3588257	1	1.053	0	0	0	4.143	1.08	2.073	17.549	2.28	5.394	0	0	0	3.804	8.894	11.347	1.055	0	0	0	1.037	1.105	0	4.67	14.379
MGI:3826602	228.92	3708.86	623.596	1089.52	930.553	2345.03	185.498	1078.37	446.609	867.77	2090.47	553.616	1055.56	737.017	192.445	1664.96	462.212	223.939	300.598	142.24	446.243	361.96	1677.32	114.406	3884.93	183.481
MGI:1920084	48	118.016	25	99.007	0	11.013	82	1825.31	254.001	2659.32	19	54	7	36	147	133	225	698.196	60	45.03	0	1.001	180.87	23.004	180.052	62.214
MGI:1920724	0	0	0	0	4.087	0	0	0	0	0	0	0	0	0	0	0	6.804	0	0	0	0	0	0	0	0	0
MGI:3779457	3.001	8.011	4.005	11.807	0	31.01	9.006	4.005	7473.06	6	26.004	6.011	2	8.017	9.944	3	5961.26	1.001	2.005	0	12.142	0	8.809	4.028	6.002	1655.22
MGI:2384864	317.131	2020.13	405.756	687.456	2.136	529.335	377.968	1033.77	311.76	934.477	509.172	250.412	258.703	409.363	291.024	1196.75	200.645	255.932	213.968	176.037	143.28	123.51	835.859	155.739	1296.73	75.799
MGI:4360907	15.191	64.548	55.929	170.4	2.463	155.596	113.333	271.21	300.574	241.006	117.357	75.815	40.214	61.311	74.021	84.266	278.465	70.134	35.109	6.65	23.327	3.35	314.211	14.031	83.03	46.468
MGI:1922261	0	0	0	0	0	0	2	0	3080.71	0	0.997	0	0	0	3	0	2088.66	0	0	0	4.126	0	1	0	0	620.516
MGI:1922310	115.973	423.999	103.471	424.619	24.014	596.265	119.784	272.304	151.175	193.404	275.376	58.46	97.258	93.006	76.425	100.998	57.718	89.875	107.958	42.128	113.442	73.889	457.61	91.551	425.258	59.783
MGI:1925762	5	1091.38	16	47.003	0	54.004	5.001	2	3.001	1	48	25	10	16	6	1130	4	1	15.003	2	13	0	27.004	0	783.063	7.004
MGI:1923065	4.557	25.1	13.183	3.117	16.457	19.215	6.02	10.53	23.664	31.831	3.58	0.001	2.06	0	3.036	4.581	92.399	8.576	0.994	0	1.028	0.013	0.478	0.003	4.017	63.278
MGI:1916642	8	687	69	116	66	94	23	221	204	8192	731	321	1489	626	282	3511	528	516	103	31	29	96	677	21	1407	81
MGI:3802003	23.939	779.112	89.359	252.802	178.852	282.539	133.212	142.105	337.855	175.252	191.604	329.932	205.344	223.62	280.634	723.731	378.624	20.085	132.235	4.335	81.13	24.356	290.267	48.256	328.411	55.706
MGI:1918228	26.587	12.182	13.937	59.154	1.372	32.641	8.819	133.213	1762.95	123.454	20.249	52.272	14.441	11.116	3.647	14.12	1261.05	8.588	9.495	0	0	1.328	20.346	0	6.337	245.219
MGI:1917461	14.347	8.255	9.079	2.103	0.002	22.979	24.252	77.128	216.222	99.683	34.131	2.926	6.024	19.02	13.747	10.075	217.938	32.042	1.003	1.002	3.883	1.245	20.298	4.067	11.779	43.268
MGI:1922734	0	0	0	0	1.018	0	52.003	0	326.015	0	0	0	0	0	104.101	0	516.374	0	0	0	1.003	0	0	8.031	0	114.421
MGI:1925904	1.189	1.023	1.117	1.816	1.256	0.842	0	1.059	12.861	1.026	1.001	0	2	0	0	7	7.008	0	0	0	1.227	0	0	0	1.41	2.111
MGI:1925465	74.373	7351.03	241.196	1359.87	5821	339.849	75.146	88.695	1532.1	56.537	400.743	380.654	538.288	20.566	12.594	388.021	619.725	62.3	472.402	94.853	73.109	293.653	1207.13	58.787	2965.8	659.188
MGI:2442126	4.042	8.001	13.004	11.278	0	31.016	4.003	6.001	22.002	16	9	2	5	4	7	6	11	3.002	5.003	0	8.021	1	16.001	2.001	4	2.002
MGI:1925332	0	33.815	71.213	0	2.441	0	0	0	0	0	14.768	31.692	0	53.877	0	0	0	0	0	0	0	0	221.766	0	0	6.747
MGI:1919001	326.09	3815.27	758.27	2392.38	0	1739.55	527.035	779.306	424.897	940.398	1607.88	822.69	967.405	752.481	377.245	3695.73	395.247	261.71	502.052	147.714	350.524	294.06	2171.19	107.15	3321.69	116.647
MGI:3045309	32	226	183.999	46	27	191	34	132	2257	191	249	10	13	164	12	191	2009	49	7	11	30	12	377	10	193	702
MGI:1926040	1.167	9.725	1.042	5.809	16.793	19.176	3.904	13.212	3023	32.188	15.262	1.58	2.359	0	8.001	14.291	2753.58	2.704	5.128	1.048	15.972	1.051	2.209	0.001	15.396	613.532
MGI:3642444	6.688	4.82	1.069	2.232	1.714	24.313	3.098	7.27	27.808	6.347	15.283	2.115	1.053	4.374	2.076	4.639	30.264	4.758	2.291	3.047	5.409	1.192	3.219	0.003	8.718	5.783
MGI:3641625	809.983	1	0	2	0	17.045	51	5.004	976.101	5.002	29.011	0	26.005	7.002	79.045	0	1041.1	0	0	0	2.595	9.004	0	25.804	2.07	237.159
MGI:2685517	13.165	528.008	636.067	217.139	1	819.995	61	35	12.742	79	859	47	23	1105	42	1109	5	35.015	48.035	6.001	199.305	10	3024	18.002	853.088	3.001
MGI:1925695	24	59	14	45	58	156	54	73	250	70	91	16	100	27	22	51	214	25	18	11	36	11	45	18	51	51
MGI:1923201	15	39.395	15.014	4.056	0	9.057	20	81.019	242.915	148	14.008	8	0	17	6	47.98	222.174	45.114	4.014	2.052	0	0	32.091	7.001	72.354	67.344
MGI:2444254	97.657	290.937	127.027	167.579	6.092	181.514	82.494	251.291	365.558	682.136	309.892	50.251	30.857	266.93	70.204	389.688	472.038	110.833	23.504	28.288	19.279	9.268	483.276	13.031	186.727	91.555
MGI:1917290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGI:3642574	4.736	41.614	29.255	37.293	5	47.38	13.162	7.163	33.915	28.217	112.089	51.805	18.489	42.293	8.88	105.299	38.934	4.234	10.566	1.059	13.477	0	54.483	0	45.483	17.562
MGI:3644546	0	11.039	0	0	1	0	0	35.328	5.113	80.999	0	1	0	0	1	11	3.874	25.9	0	0	0	1	2	0	5.045	8.067
MGI:3783055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGI:2146143	0	4.001	101.678	1	0	174.901	0	148.683	3.929	317.275	189.151	2	2	75.302	1	0	2.001	123.069	0	1	18.824	2.001	152.795	0	6.225	0
MGI:1916541	23.046	506.126	200.764	1085.05	481.075	565.267	33.167	390.799	34462.6	731.739	549.456	434.994	805.75	260.973	109	569.473	24818.4	121.995	115.008	6	84.352	234.475	597.25	5	502.118	8846.75
MGI:2146194	0	2.073	1	0	0	0	0	38.881	3.262	53.918	0	0	2	0	0	8.298	0	25.492	0	0	0	0	0	0	4.157	0
MGI:1100876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGI:1914888	2	1	0	6	0	4	4	1	790	6	1	2	0	0	3	5	2017	1	0	1	5	1	10	0	8	445.676
MGI:1921228	39.063	578.904	91.93	146.161	1578.88	101.224	29.448	87.735	10986.4	52.29	44.314	22.38	385.659	69.547	9.434	103.618	3079	19.704	4.287	11.004	18.099	601.131	282.989	36.622	224.937	1093.88
MGI:3641730	0	0	0	0	0	0	0	0	3.151	35.125	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
MGI:4414995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGI:3641626	319.002	2480.81	622.246	1461.17	14.447	1138.63	1278.05	222.045	619.28	249.356	771.65	821.092	748.986	447.173	741.915	1707.12	470.651	105.383	699.847	269.781	571.301	223.338	2361.04	282.072	2033.36	248.344
MGI:1921553	0	0	0	0	0	0	0	740.99	674.565	1537.29	0	0	0	0	0	0	412.951	234.443	0	0	0	0	0	0	0	211.745
MGI:3642813	1	9.926	24.977	22.802	130.847	331.939	1	1	533	2.745	302.607	40.637	147.524	36.27	1.766	55.502	502.745	0	7	0	67.909	28.861	90.885	1	51.31	147.595
MGI:1914019	2	7	1	2.995	0	34	5	7	1808.82	12	15	12	5	3	5	9	2189	2	0	0	1	3	4	2	3	762.856
MGI:3802102	444.826	177.833	140.524	60.723	54.849	84.465	2369.73	169.714	188.974	223.859	56.909	29.191	20.562	181.327	2043.99	194.596	62.477	79.802	23.284	199.314	26.584	11.318	463.979	281.387	175.018	38.265
MGI:1922531	0	8.212	0	4.005	0	0	0	5.664	725.68	0	0	0	0	0	0	0	450.049	3.476	0.001	0	1.279	0	1.895	1.001	4.314	286.394
MGI:3642805	48.238	506.113	88.998	68.358	24.987	89.754	58.984	126.493	83.687	80.315	37.854	3.34	1.07	32.248	23.174	80.441	105.244	36.712	6.494	5.189	13.129	9.976	43.744	10.219	62.012	28.661
MGI:3642705	4.169	26.137	9.568	14.018	9.046	29.048	28.023	34.027	4.057	29.069	25.053	5	23.081	14.001	66	39.273	5.48	11.012	3.003	0	9.007	7.006	27.038	10.977	37.033	1.088
MGI:1925818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGI:1924868	12.031	66.369	8.14	64.145	80.803	183.629	22.421	145.131	181.067	214.445	94.732	14.175	54.567	27.254	22.11	50.98	147.816	51.775	2.165	3.342	23.556	24.584	51.818	6.549	33.651	59.119
MGI:1922509	76.555	307.424	1062.64	146.555	21.635	1051.24	91.534	62.253	3495.41	68.784	1053.09	56.083	836.419	1338.05	168.794	255.821	3147.64	20.469	52.52	16.896	231.025	242.843	2477.43	50.108	240.139	1195.62
MGI:1925478	32.882	161.459	53.275	423.052	76.172	527.36	72.624	357.861	473.533	72.685	493.317	120.389	136.173	97.537	20.713	196.822	245.605	39.727	114.47	14.438	71.18	63.981	189.396	14.456	172.404	115.225
MGI:3782861	25.466	6.8	2.022	5.893	8.305	4.104	3.068	117.004	120.723	176.36	1.001	0.014	3.756	5	0	7.066	111.145	54.237	2.046	12.033	2.013	0.371	23.098	2.616	3.955	34.181
MGI:1923207	98	1474	98	640	0	181	84	29	577	33	263	127	74	274	71	1149	592	10	136	50	43	28	311	24	1606	199
MGI:1923039	0	1.026	0	2	0	0	0	34	4712	23	3	0	0	0	1	1	2145	8.18	0	0	3	0	4	0	0	467.167
MGI:3644701	0	0	0	0	0	77.712	0	0	0	0	56.301	1.399	0	0	0	0	0	0	0	0	4.521	0	0	0	0	0
MGI:1918250	23.454	166.372	39.88	49.801	4.498	110.476	22.31	159.132	2425.36	326.513	152.105	25.18	45.238	65.759	42.298	132.044	2480.83	127.107	27.131	5.174	27.563	19.041	135.298	13.704	181.019	697.6
MGI:1934030	1922.61	11545.1	2275.09	2505.49	2263.55	4503.95	1402.33	1805.92	6573.54	2508.21	3689.94	1393.42	2475.56	3355.84	2129.52	9315.52	5592.51	737.555	832.89	577.047	687.205	548.024	4556.48	662.419	9366.09	1991.28
MGI:1914909	2.001	0	0	4.602	0	1.002	0	21.061	993.696	23.028	1.002	0	0	0	0	0	850.172	2.003	0	0	0	0	0	0	2.006	318.312
MGI:3782196	1.758	7.827	0.001	6.358	1.085	3.104	4.237	0.141	303.974	8.569	1.147	1.688	5.58	4.633	2.033	3.75	210.611	0.003	2.165	2.171	0.048	1.01	0.032	0.048	7.912	16.68
MGI:3583292	2396.54	20282	2311.83	7204.59	3576.39	4067.05	2672.57	4687.38	2490.15	4173.12	6494.1	5806.87	5677.6	6856.82	3357.71	13976	4099.98	942.865	1473.78	946.597	663.318	542.797	7161.73	531.506	12182.1	738.832
MGI:3641713	9.003	353.169	20	63.052	7	17	29.009	19.009	126.16	12.006	44.002	51.012	19	29	16	299	52	2.002	28.028	16	2	3.005	54.004	2.003	304.142	32.027
MGI:5568573	0	0.996	13	1	38	2	3	6.003	109.016	4	0	2	3	4	0	0	302	0	0	2	0	250.066	53.002	0	0	23.009
MGI:1922785	0	0	5.858	0	0	0	0	0.001	202.864	5.115	0	1	0	4.757	0	0	392.119	0	0	0	0	0	0	0	0	40.581
MGI:3642411	370.808	3848.84	1062.78	2971.22	5.051	2253.91	501.914	849.44	730.214	902.897	2442.2	1034.77	905.237	1194.52	382.16	2468.51	456.66	235.969	615.631	228.956	526.188	303.809	3227.65	176.664	3887.34	242.563
MGI:1918205	1	4.939	0	0	2	3.003	2	5	957.113	7.767	1.001	0	0.952	0	2.003	2.483	1064.23	3.727	0	0	6.165	1.322	0	0	1	528.769
MGI:1922413	0	1.91	0	1.001	1.002	0	0	3.991	680.404	3.741	0	1.819	0	0	2	4.051	540.452	1.001	0	0	1.322	0	0	1.134	2.095	195.802
MGI:1920690	3.599	117.453	1.1	1.085	3.063	13.32	0.002	12.4	520.953	10.637	5.22	1.116	4.659	13.835	2.308	144.498	313.063	2.191	0.001	0.001	0.003	0.033	6.181	0.002	4.439	11.3
MGI:1922109	0	0	2.001	0	0	1	0	5.001	2309.49	6	0	0	1	0	0	0	1364.92	0	0	0	1	0	5.001	1.001	0	1051.05
MGI:1925643	2.996	0	0	0	0	40.899	0	0	2804.89	24.942	125.195	0	0	0	0	0	2040.16	0	0	0.839	3.907	1.985	0	0	0	1115.51
MGI:3704428	12.354	6.963	0.031	0.016	17.38	5.743	3.124	0.047	1845.49	7.438	1.008	0.005	1.415	4.167	12.12	5.377	1680.87	0.041	0.067	0.046	0.035	0.15	2.989	13.123	8.096	734.253
MGI:3781650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGI:3779595	64.018	0	0	0	0	0	7	0	1.08	0	0	1.004	0	3.048	7	2.002	3.785	0	0	28.009	0	0	6.003	5.004	6.006	0
MGI:1922411	6.339	274.547	6.064	38.076	15.788	34.35	16.428	156.588	1347.32	17.741	3.437	21.982	13.599	5.109	5.609	2.354	668.357	14.361	2.507	0.382	4.035	1.072	8.223	7.704	21.916	191.206
MGI:1922159	0	4.859	1.045	3.63	0	6.054	1.052	7.705	740.222	13.86	7.975	8.013	8.005	0	7.063	2.014	295.138	0	0.001	0	1.012	3.011	1.029	0	33.881	181.996
MGI:1923970	0	22.095	1.691	11.193	6.511	4.683	3.585	5.74	699.011	3.565	2.095	6.005	1.056	1.466	3.001	0	705.154	0	6.421	0	1.024	1.895	6.505	0	8.871	266.939
MGI:3705144	0.006	114.658	0.027	0.026	0.041	0.033	0.022	0.011	0.016	0.011	0.034	15.252	0	0.009	16.379	0.042	0.015	0.034	0.025	0.002	7.582	0.011	0.018	0.076	176.85	0.017
MGI:1917940	63.877	529.366	121.666	121.776	0	151.365	62.461	567.406	340.248	984.309	173.329	45.862	77.053	149.792	164.883	393.38	352.403	179.777	40.137	24.389	34.648	16.292	343.811	40.639	479.743	103.468
MGI:2444982	62.054	76.002	18.421	109.586	0	63.585	91.839	59.848	23.936	93.505	101.249	42.765	229.305	41.34	122.431	128.29	44.077	77.037	41.719	34.22	57.885	93.734	54.544	24.702	105.884	42.173
