Name	heart1	spleen1	lung1	colon1	liver1	kidney1	skeletal_muscle_tissue1	brain1	testis1	brain2	kidney2	colon2	liver2	lung2	skeletal_muscle_tissue2	spleen2	testis2	brain3	colon3	heart3	kidney3	liver3	lung3	skeletal_muscle_tissue3	spleen3	testis3
MGI:3643618	272.724	861.844	208.567	1236.62	0	806.133	525.533	549.487	364.722	804.76	1089.92	1120.64	793.311	530.795	663.142	726.693	394.906	138.24	281.604	70.162	177.872	142.19	479.826	64.952	522.173	136.965
MGI:1101759	476.207	4765.11	851.132	2891.79	1276.37	1813.66	1051.76	1852.26	3404.81	1799.69	1798.07	355.861	771.883	1047.17	955.598	3053.38	2361.76	849.539	374.137	313.675	487.416	414.423	2661.87	255.486	4091.13	1118.59
MGI:1914525	14.866	2.004	28.073	3.265	4.996	136.455	50.85	1750.89	561.175	2849.82	35	3.002	0	78.062	26.701	4.001	394.039	759.193	1.003	4	80.243	0.001	292.739	7.017	4.391	76.902
MGI:1921586	655.562	3442.64	1004.05	1349.48	4564.89	1974.95	1604.27	1400.15	1191.87	1680.78	2206.28	604.079	3018.55	1234.74	1630.34	3590.26	1007.91	486.348	371.677	306.236	427.544	1467.26	2360.3	589.401	3030.23	271.833
MGI:2142908	8569.53	727.867	6954.73	3409.11	142.084	425.792	202.122	73.347	791.64	120.138	812.064	1861.5	101.115	8611.11	314.23	728.648	720.336	53.75	639.435	2676.53	193.016	31.034	19603.6	180.774	696.177	237.687
MGI:892030	0.027	0.035	0.038	0.065	0.767	0.036	0.12	24.73	1.485	606.208	0.009	0.014	0.28	0.036	0.166	0.015	0.203	196.844	0.017	0.003	4.703	0.107	0.014	0.378	0.037	0.753
MGI:1927450	905.583	2517.72	899.677	1325.54	102.63	2593.9	1346.01	2771.69	4405.28	3766.28	1794.1	556.762	1038.94	979.271	1393.08	1525.83	3389.16	1262.78	540.891	309.384	813.703	603.846	2584.12	640.244	3648.93	1184.23
MGI:2685327	0	0	1	9.785	0	1	0	2	2808.71	0	0	0	0	4	3	0	4318.49	0	0	0	7.287	29.288	0	0	0	790.619
MGI:3648691	0	1.368	0	0	0	1.077	0	1.516	1536.02	0	0	0	0	0	1.994	1	1448.03	0	0	0	1	0	0	2	0	454.798
MGI:3644593	714.313	183.453	249.688	1223.76	414.906	53.135	17287.3	1452.7	36.798	741.544	31.08	303.581	26.394	126.651	20511.7	74.272	20.59	560.367	505.832	311.73	14.105	186.929	1433.56	3742.33	173.12	6.399
MGI:2142079	309.536	2783.45	565.354	1068.4	1359.7	815.502	929.775	775.879	4473.04	646.675	903.756	416.442	964.512	591.843	916.428	1545.44	3320.11	141.433	123.249	101.893	183.604	162.203	905.832	131.695	804.887	79.549
MGI:1316696	0	0	0	0.001	0	0	0	0.001	8.505	0	0	0	0	0.002	0	0	1.949	2.324	0.001	0	0	0	0	0	0	3.057
MGI:2670964	570	5285	895	6652	1208	1720	622	470	143	490	961	3444	857	1208	407	4101	71	101	1733	224	291	311	1421	168	3284	51
MGI:5141914	58.339	411.787	49.535	244.354	94.053	162.452	52.554	308.592	258.933	327.151	183.143	89.379	84.345	66.532	38.992	356.992	201.189	210.366	131.706	36.485	98.384	100.223	495.905	65.769	1033.66	116.31
